episode=0 PDR=86.34 EE=44.66
episode=1 PDR=86.23 EE=49.14
episode=2 PDR=80.31 EE=51.90
episode=3 PDR=72.49 EE=55.46
episode=4 PDR=65.98 EE=54.10
episode=5 PDR=60.08 EE=53.71
episode=6 PDR=60.60 EE=66.54
episode=7 PDR=57.99 EE=69.22
episode=8 PDR=56.89 EE=74.50
episode=9 PDR=52.15 EE=68.54
episode=10 PDR=47.64 EE=61.31
episode=11 PDR=49.85 EE=68.24
episode=12 PDR=44.92 EE=59.19
episode=13 PDR=47.42 EE=66.32
episode=14 PDR=50.28 EE=74.05
episode=15 PDR=50.44 EE=73.90
episode=16 PDR=47.72 EE=69.22
episode=17 PDR=49.03 EE=72.32
episode=18 PDR=51.19 EE=75.96
episode=19 PDR=47.48 EE=70.10
episode=20 PDR=47.80 EE=71.57
episode=21 PDR=47.85 EE=71.18
episode=22 PDR=44.19 EE=63.34
episode=23 PDR=43.37 EE=61.88
episode=24 PDR=49.06 EE=75.64
episode=25 PDR=48.65 EE=74.23
episode=26 PDR=47.46 EE=68.96
episode=27 PDR=49.52 EE=75.98
episode=28 PDR=49.42 EE=74.59
episode=29 PDR=51.23 EE=78.37
episode=30 PDR=50.23 EE=75.18
episode=31 PDR=47.15 EE=69.71
episode=32 PDR=49.35 EE=74.59
episode=33 PDR=49.51 EE=75.12
episode=34 PDR=49.74 EE=75.81
episode=35 PDR=46.75 EE=69.77
episode=36 PDR=50.18 EE=76.33
episode=37 PDR=48.82 EE=73.93
episode=38 PDR=49.56 EE=73.79
episode=39 PDR=48.17 EE=72.32
episode=40 PDR=45.43 EE=66.94
episode=41 PDR=48.51 EE=74.10
episode=42 PDR=46.07 EE=68.00
episode=43 PDR=48.06 EE=70.21
episode=44 PDR=47.23 EE=68.37
episode=45 PDR=42.21 EE=59.03
episode=46 PDR=46.23 EE=67.08
episode=47 PDR=45.58 EE=66.55
episode=48 PDR=49.29 EE=74.93
episode=49 PDR=48.17 EE=71.86
episode=50 PDR=45.55 EE=66.14
episode=51 PDR=45.76 EE=67.63
episode=52 PDR=43.82 EE=63.26
episode=53 PDR=42.81 EE=62.75
episode=54 PDR=43.58 EE=62.99
episode=55 PDR=49.69 EE=75.64
episode=56 PDR=47.72 EE=70.55
episode=57 PDR=45.76 EE=66.37
episode=58 PDR=47.00 EE=72.52
episode=59 PDR=50.44 EE=79.48
episode=60 PDR=50.88 EE=77.28
episode=61 PDR=49.28 EE=74.41
episode=62 PDR=48.16 EE=72.51
episode=63 PDR=46.45 EE=68.63
episode=64 PDR=48.60 EE=73.87
episode=65 PDR=43.76 EE=63.66
episode=66 PDR=43.65 EE=62.94
episode=67 PDR=44.71 EE=64.88
episode=68 PDR=46.78 EE=68.18
episode=69 PDR=46.26 EE=66.65
episode=70 PDR=48.33 EE=71.51
episode=71 PDR=44.30 EE=65.67
episode=72 PDR=43.95 EE=64.22
episode=73 PDR=48.09 EE=73.02
episode=74 PDR=47.18 EE=69.54
episode=75 PDR=46.39 EE=68.06
episode=76 PDR=47.05 EE=69.88
episode=77 PDR=47.23 EE=72.23
episode=78 PDR=49.38 EE=75.09
episode=79 PDR=49.52 EE=75.08
episode=80 PDR=50.84 EE=76.99
episode=81 PDR=48.03 EE=71.29
episode=82 PDR=45.02 EE=64.29
episode=83 PDR=48.44 EE=73.37
episode=84 PDR=47.76 EE=70.23
episode=85 PDR=49.01 EE=74.28
episode=86 PDR=48.47 EE=72.40
episode=87 PDR=46.86 EE=67.71
episode=88 PDR=49.11 EE=74.85
episode=89 PDR=46.32 EE=68.98
episode=90 PDR=47.85 EE=72.74
episode=91 PDR=47.14 EE=69.35
episode=92 PDR=47.55 EE=72.11
episode=93 PDR=48.68 EE=74.74
episode=94 PDR=46.14 EE=69.57
episode=95 PDR=49.67 EE=76.99
episode=96 PDR=49.85 EE=78.09
episode=97 PDR=44.47 EE=64.74
episode=98 PDR=47.48 EE=70.82
episode=99 PDR=48.76 EE=73.55
