episode=0 PDR=82.36 EE=41.69
episode=1 PDR=82.90 EE=45.10
episode=2 PDR=84.82 EE=46.80
episode=3 PDR=84.65 EE=47.08
episode=4 PDR=84.63 EE=44.99
episode=5 PDR=85.03 EE=48.23
episode=6 PDR=86.17 EE=49.72
episode=7 PDR=85.91 EE=50.17
episode=8 PDR=85.78 EE=50.64
episode=9 PDR=86.10 EE=54.46
episode=10 PDR=85.70 EE=48.86
episode=11 PDR=85.56 EE=50.78
episode=12 PDR=87.02 EE=52.77
episode=13 PDR=85.18 EE=55.78
episode=14 PDR=86.00 EE=53.47
episode=15 PDR=86.01 EE=52.07
episode=16 PDR=86.49 EE=50.00
episode=17 PDR=86.93 EE=59.31
episode=18 PDR=86.77 EE=53.99
episode=19 PDR=86.09 EE=55.54
episode=20 PDR=86.35 EE=57.44
episode=21 PDR=86.35 EE=58.17
episode=22 PDR=86.51 EE=54.48
episode=23 PDR=86.62 EE=60.26
episode=24 PDR=87.39 EE=63.83
episode=25 PDR=86.16 EE=58.46
episode=26 PDR=87.08 EE=54.04
episode=27 PDR=86.02 EE=60.73
episode=28 PDR=86.59 EE=55.53
episode=29 PDR=86.84 EE=57.63
episode=30 PDR=88.08 EE=61.90
episode=31 PDR=86.60 EE=59.71
episode=32 PDR=86.08 EE=55.87
episode=33 PDR=86.62 EE=58.01
episode=34 PDR=85.80 EE=58.41
episode=35 PDR=86.25 EE=56.35
episode=36 PDR=86.10 EE=57.23
episode=37 PDR=87.17 EE=59.12
episode=38 PDR=86.77 EE=58.17
episode=39 PDR=86.88 EE=58.95
episode=40 PDR=87.22 EE=66.96
episode=41 PDR=87.29 EE=60.73
episode=42 PDR=87.28 EE=60.16
episode=43 PDR=87.37 EE=59.11
episode=44 PDR=86.20 EE=54.70
episode=45 PDR=86.31 EE=58.06
episode=46 PDR=87.22 EE=56.92
episode=47 PDR=86.63 EE=54.24
episode=48 PDR=88.41 EE=57.15
episode=49 PDR=87.03 EE=61.23
episode=50 PDR=87.47 EE=60.58
episode=51 PDR=87.36 EE=58.86
episode=52 PDR=87.18 EE=58.90
episode=53 PDR=87.19 EE=63.06
episode=54 PDR=87.65 EE=64.81
episode=55 PDR=88.08 EE=62.59
episode=56 PDR=88.13 EE=62.01
episode=57 PDR=87.46 EE=61.86
episode=58 PDR=87.45 EE=60.14
episode=59 PDR=88.21 EE=64.73
episode=60 PDR=87.59 EE=62.33
episode=61 PDR=87.21 EE=62.53
episode=62 PDR=87.39 EE=64.58
episode=63 PDR=86.66 EE=54.93
episode=64 PDR=87.11 EE=55.59
episode=65 PDR=87.29 EE=59.71
episode=66 PDR=87.15 EE=57.79
episode=67 PDR=87.52 EE=65.49
episode=68 PDR=87.25 EE=67.90
episode=69 PDR=87.28 EE=67.41
episode=70 PDR=87.23 EE=63.53
episode=71 PDR=87.91 EE=60.00
episode=72 PDR=87.81 EE=66.82
episode=73 PDR=88.25 EE=66.70
episode=74 PDR=87.51 EE=60.80
episode=75 PDR=86.34 EE=57.92
episode=76 PDR=86.80 EE=64.49
episode=77 PDR=87.48 EE=64.50
episode=78 PDR=86.80 EE=65.14
episode=79 PDR=88.32 EE=58.83
episode=80 PDR=87.61 EE=61.81
episode=81 PDR=86.69 EE=66.43
episode=82 PDR=88.29 EE=71.25
episode=83 PDR=87.64 EE=72.74
episode=84 PDR=87.31 EE=60.72
episode=85 PDR=86.50 EE=61.97
episode=86 PDR=88.79 EE=66.24
episode=87 PDR=88.20 EE=64.88
episode=88 PDR=87.56 EE=63.84
episode=89 PDR=87.84 EE=60.35
episode=90 PDR=87.96 EE=59.67
episode=91 PDR=86.92 EE=60.89
episode=92 PDR=88.12 EE=68.26
episode=93 PDR=87.79 EE=68.83
episode=94 PDR=86.99 EE=62.66
episode=95 PDR=87.40 EE=65.11
episode=96 PDR=88.18 EE=68.71
episode=97 PDR=88.52 EE=67.09
episode=98 PDR=88.66 EE=63.73
episode=99 PDR=88.22 EE=65.53
episode=100 PDR=87.48 EE=63.87
episode=101 PDR=87.42 EE=62.69
episode=102 PDR=87.97 EE=62.67
episode=103 PDR=87.85 EE=62.57
episode=104 PDR=87.30 EE=60.89
episode=105 PDR=87.66 EE=61.24
episode=106 PDR=87.67 EE=63.22
episode=107 PDR=88.63 EE=67.19
episode=108 PDR=87.74 EE=65.12
episode=109 PDR=87.75 EE=66.14
episode=110 PDR=87.60 EE=60.95
episode=111 PDR=88.52 EE=66.41
episode=112 PDR=87.78 EE=64.98
episode=113 PDR=87.96 EE=60.36
episode=114 PDR=88.48 EE=58.67
episode=115 PDR=88.88 EE=63.96
episode=116 PDR=88.20 EE=63.10
episode=117 PDR=88.23 EE=61.28
episode=118 PDR=88.67 EE=59.57
episode=119 PDR=88.03 EE=64.65
episode=120 PDR=88.16 EE=63.58
episode=121 PDR=88.07 EE=64.85
episode=122 PDR=87.42 EE=59.57
episode=123 PDR=87.75 EE=65.38
episode=124 PDR=88.11 EE=64.76
episode=125 PDR=87.98 EE=65.60
episode=126 PDR=87.21 EE=64.80
episode=127 PDR=87.00 EE=63.08
episode=128 PDR=88.53 EE=65.85
