episode=0 PDR=31.54 EE=15.72
episode=1 PDR=35.27 EE=15.42
episode=2 PDR=36.13 EE=14.71
episode=3 PDR=36.44 EE=14.58
episode=4 PDR=37.01 EE=14.43
episode=5 PDR=37.75 EE=14.45
episode=6 PDR=38.40 EE=14.18
episode=7 PDR=38.71 EE=13.36
episode=8 PDR=40.77 EE=13.97
episode=9 PDR=38.59 EE=13.30
episode=10 PDR=39.53 EE=13.67
episode=11 PDR=39.27 EE=13.39
episode=12 PDR=40.66 EE=13.42
episode=13 PDR=39.87 EE=13.21
episode=14 PDR=39.96 EE=14.18
episode=15 PDR=40.73 EE=13.96
episode=16 PDR=40.28 EE=14.08
episode=17 PDR=41.25 EE=13.48
