episode=0 PDR=42.67 EE=11.37
episode=1 PDR=46.53 EE=10.07
episode=2 PDR=49.39 EE=10.09
episode=3 PDR=50.14 EE=9.32
episode=4 PDR=51.53 EE=9.23
episode=5 PDR=52.23 EE=9.05
episode=6 PDR=52.89 EE=8.79
episode=7 PDR=53.25 EE=9.14
episode=8 PDR=54.71 EE=8.45
episode=9 PDR=54.70 EE=8.45
episode=10 PDR=54.26 EE=8.25
episode=11 PDR=55.00 EE=8.57
episode=12 PDR=56.36 EE=8.37
episode=13 PDR=56.20 EE=7.95
episode=14 PDR=56.24 EE=8.00
episode=15 PDR=55.30 EE=7.90
episode=16 PDR=55.42 EE=8.10
episode=17 PDR=57.12 EE=8.00
episode=18 PDR=57.88 EE=8.19
episode=19 PDR=57.16 EE=8.08
episode=20 PDR=57.29 EE=8.34
episode=21 PDR=57.15 EE=8.35
episode=22 PDR=56.27 EE=8.18
episode=23 PDR=56.66 EE=8.22
episode=24 PDR=58.22 EE=8.19
episode=25 PDR=58.42 EE=8.09
episode=26 PDR=57.49 EE=7.80
episode=27 PDR=57.48 EE=7.84
episode=28 PDR=56.74 EE=7.73
episode=29 PDR=56.55 EE=7.68
episode=30 PDR=57.82 EE=7.86
episode=31 PDR=58.59 EE=7.92
episode=32 PDR=58.33 EE=7.79
episode=33 PDR=57.87 EE=7.77
episode=34 PDR=57.77 EE=7.85
episode=35 PDR=58.87 EE=8.17
episode=36 PDR=59.11 EE=7.94
episode=37 PDR=58.17 EE=7.88
episode=38 PDR=59.19 EE=8.17
episode=39 PDR=58.21 EE=7.98
episode=40 PDR=58.39 EE=8.17
episode=41 PDR=57.88 EE=7.98
episode=42 PDR=58.42 EE=7.94
episode=43 PDR=58.66 EE=8.35
episode=44 PDR=58.11 EE=8.06
episode=45 PDR=57.29 EE=7.77
episode=46 PDR=57.71 EE=8.04
episode=47 PDR=58.94 EE=8.12
episode=48 PDR=58.09 EE=8.15
episode=49 PDR=58.92 EE=8.11
episode=50 PDR=58.70 EE=8.09
episode=51 PDR=59.67 EE=7.97
episode=52 PDR=57.08 EE=7.56
episode=53 PDR=58.16 EE=7.81
episode=54 PDR=59.24 EE=7.94
episode=55 PDR=59.41 EE=8.27
episode=56 PDR=59.13 EE=7.90
episode=57 PDR=57.35 EE=7.62
episode=58 PDR=58.89 EE=7.96
episode=59 PDR=58.36 EE=7.92
episode=60 PDR=58.91 EE=7.97
episode=61 PDR=59.43 EE=7.87
episode=62 PDR=58.12 EE=7.60
episode=63 PDR=57.93 EE=7.50
episode=64 PDR=58.26 EE=7.74
episode=65 PDR=58.59 EE=7.62
episode=66 PDR=58.68 EE=7.74
episode=67 PDR=58.56 EE=7.84
episode=68 PDR=58.03 EE=7.63
episode=69 PDR=59.85 EE=7.57
episode=70 PDR=57.86 EE=7.59
episode=71 PDR=59.67 EE=7.91
episode=72 PDR=58.60 EE=7.64
episode=73 PDR=58.19 EE=7.62
episode=74 PDR=59.47 EE=7.98
episode=75 PDR=59.12 EE=8.05
episode=76 PDR=60.75 EE=8.29
episode=77 PDR=60.15 EE=7.93
episode=78 PDR=58.64 EE=7.69
episode=79 PDR=59.10 EE=7.65
episode=80 PDR=58.65 EE=7.58
episode=81 PDR=58.71 EE=7.68
episode=82 PDR=58.89 EE=7.64
episode=83 PDR=59.38 EE=7.97
episode=84 PDR=58.95 EE=7.77
episode=85 PDR=59.80 EE=7.87
episode=86 PDR=59.48 EE=7.92
episode=87 PDR=59.71 EE=7.81
episode=88 PDR=58.50 EE=7.44
episode=89 PDR=59.26 EE=7.62
episode=90 PDR=59.59 EE=7.75
episode=91 PDR=58.82 EE=7.68
episode=92 PDR=59.29 EE=7.71
episode=93 PDR=59.86 EE=7.86
episode=94 PDR=59.15 EE=7.78
episode=95 PDR=59.13 EE=7.72
episode=96 PDR=59.76 EE=7.95
episode=97 PDR=58.99 EE=7.77
episode=98 PDR=59.86 EE=7.91
episode=99 PDR=59.86 EE=7.88
episode=100 PDR=59.22 EE=7.72
episode=101 PDR=60.00 EE=7.76
episode=102 PDR=59.26 EE=7.72
episode=103 PDR=60.32 EE=7.71
episode=104 PDR=58.98 EE=7.50
episode=105 PDR=59.25 EE=7.64
episode=106 PDR=59.83 EE=7.76
episode=107 PDR=58.75 EE=7.48
episode=108 PDR=59.68 EE=7.72
episode=109 PDR=59.01 EE=7.57
episode=110 PDR=59.00 EE=7.61
episode=111 PDR=59.57 EE=7.61
episode=112 PDR=58.87 EE=7.43
episode=113 PDR=59.69 EE=7.75
episode=114 PDR=58.64 EE=7.55
episode=115 PDR=58.80 EE=7.44
episode=116 PDR=58.22 EE=7.31
episode=117 PDR=59.04 EE=7.40
episode=118 PDR=60.23 EE=7.50
episode=119 PDR=59.27 EE=7.45
episode=120 PDR=59.95 EE=7.52
episode=121 PDR=59.21 EE=7.63
episode=122 PDR=59.39 EE=7.85
episode=123 PDR=59.35 EE=7.68
episode=124 PDR=59.30 EE=7.66
episode=125 PDR=59.76 EE=7.71
episode=126 PDR=59.91 EE=7.81
episode=127 PDR=59.70 EE=7.78
episode=128 PDR=60.19 EE=7.87
episode=129 PDR=59.11 EE=7.80
episode=130 PDR=60.44 EE=8.15
episode=131 PDR=58.66 EE=7.74
episode=132 PDR=58.87 EE=7.59
episode=133 PDR=59.18 EE=7.71
episode=134 PDR=61.14 EE=7.98
episode=135 PDR=59.34 EE=7.56
episode=136 PDR=59.70 EE=7.67
episode=137 PDR=60.61 EE=7.75
episode=138 PDR=59.49 EE=7.46
episode=139 PDR=57.92 EE=7.50
episode=140 PDR=59.17 EE=7.67
episode=141 PDR=58.96 EE=7.47
episode=142 PDR=59.17 EE=7.42
episode=143 PDR=58.94 EE=7.42
episode=144 PDR=59.99 EE=7.64
episode=145 PDR=58.97 EE=7.68
episode=146 PDR=59.95 EE=7.80
episode=147 PDR=60.56 EE=7.68
episode=148 PDR=59.50 EE=7.41
episode=149 PDR=59.62 EE=7.50
episode=150 PDR=58.17 EE=7.34
episode=151 PDR=59.35 EE=7.53
episode=152 PDR=60.56 EE=7.95
episode=153 PDR=60.69 EE=7.72
episode=154 PDR=60.21 EE=7.75
episode=155 PDR=60.28 EE=7.59
episode=156 PDR=59.59 EE=7.40
episode=157 PDR=60.80 EE=7.58
episode=158 PDR=59.56 EE=7.35
episode=159 PDR=59.81 EE=7.53
episode=160 PDR=59.75 EE=7.59
episode=161 PDR=59.61 EE=7.46
episode=162 PDR=59.43 EE=7.46
episode=163 PDR=59.42 EE=7.47
episode=164 PDR=58.71 EE=7.33
episode=165 PDR=60.10 EE=7.72
episode=166 PDR=60.10 EE=7.68
episode=167 PDR=59.90 EE=7.62
episode=168 PDR=61.04 EE=7.69
episode=169 PDR=59.34 EE=7.40
episode=170 PDR=59.60 EE=7.50
episode=171 PDR=59.56 EE=7.37
episode=172 PDR=60.15 EE=7.62
episode=173 PDR=59.82 EE=7.55
episode=174 PDR=59.56 EE=7.69
episode=175 PDR=59.73 EE=7.60
episode=176 PDR=59.10 EE=7.62
episode=177 PDR=59.20 EE=7.73
episode=178 PDR=59.70 EE=7.85
episode=179 PDR=59.87 EE=7.69
episode=180 PDR=59.57 EE=7.64
episode=181 PDR=58.43 EE=7.45
episode=182 PDR=59.31 EE=7.69
episode=183 PDR=60.60 EE=7.82
episode=184 PDR=60.28 EE=7.79
episode=185 PDR=58.19 EE=7.61
episode=186 PDR=61.15 EE=7.94
episode=187 PDR=59.85 EE=7.61
episode=188 PDR=59.63 EE=7.50
episode=189 PDR=59.11 EE=7.46
episode=190 PDR=58.85 EE=7.49
episode=191 PDR=59.69 EE=7.60
episode=192 PDR=59.80 EE=7.58
episode=193 PDR=58.10 EE=7.19
episode=194 PDR=59.40 EE=7.51
episode=195 PDR=59.65 EE=7.51
episode=196 PDR=60.46 EE=7.66
episode=197 PDR=60.18 EE=7.56
episode=198 PDR=60.84 EE=7.78
episode=199 PDR=60.30 EE=7.52
episode=200 PDR=59.91 EE=7.51
episode=201 PDR=59.56 EE=7.47
episode=202 PDR=58.31 EE=7.30
episode=203 PDR=58.79 EE=7.25
episode=204 PDR=58.69 EE=7.13
episode=205 PDR=58.71 EE=7.23
episode=206 PDR=59.15 EE=7.22
episode=207 PDR=60.13 EE=7.54
episode=208 PDR=59.67 EE=7.58
episode=209 PDR=59.35 EE=7.43
episode=210 PDR=59.74 EE=7.61
episode=211 PDR=61.68 EE=7.66
episode=212 PDR=59.98 EE=7.60
episode=213 PDR=61.73 EE=7.86
episode=214 PDR=61.75 EE=7.86
episode=215 PDR=59.87 EE=7.61
episode=216 PDR=59.84 EE=7.61
episode=217 PDR=59.36 EE=7.51
episode=218 PDR=60.09 EE=7.63
episode=219 PDR=59.81 EE=7.60
episode=220 PDR=59.43 EE=7.57
episode=221 PDR=60.02 EE=7.69
episode=222 PDR=59.26 EE=7.61
episode=223 PDR=59.60 EE=7.62
episode=224 PDR=60.00 EE=7.83
episode=225 PDR=59.74 EE=7.75
episode=226 PDR=61.42 EE=7.92
episode=227 PDR=59.24 EE=7.50
episode=228 PDR=58.67 EE=7.46
episode=229 PDR=59.84 EE=7.73
episode=230 PDR=59.60 EE=7.59
episode=231 PDR=60.05 EE=7.64
