episode=0, mum of sent packets=4524, num of lost packets=powerloss:836+collided:555=1391, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=120.37, Jain's Fairness Index=0.24, PDR=69.16
episode=1, mum of sent packets=4530, num of lost packets=powerloss:504+collided:448=952, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=125.74, Jain's Fairness Index=0.19, PDR=78.87
episode=2, mum of sent packets=4519, num of lost packets=powerloss:482+collided:403=885, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=119.34, Jain's Fairness Index=0.20, PDR=80.35
episode=3, mum of sent packets=4463, num of lost packets=powerloss:438+collided:410=848, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=103.72, Jain's Fairness Index=0.22, PDR=80.98
episode=4, mum of sent packets=4522, num of lost packets=powerloss:387+collided:431=818, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=108.46, Jain's Fairness Index=0.18, PDR=81.84
episode=5, mum of sent packets=4619, num of lost packets=powerloss:482+collided:429=911, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=97.61, Jain's Fairness Index=0.22, PDR=80.19
episode=6, mum of sent packets=4533, num of lost packets=powerloss:424+collided:415=839, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=105.32, Jain's Fairness Index=0.20, PDR=81.36
episode=7, mum of sent packets=4498, num of lost packets=powerloss:419+collided:423=842, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=99.80, Jain's Fairness Index=0.21, PDR=81.24
episode=8, mum of sent packets=4404, num of lost packets=powerloss:423+collided:406=829, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=83.67, Jain's Fairness Index=0.23, PDR=81.11
episode=9, mum of sent packets=4564, num of lost packets=powerloss:430+collided:399=829, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=83.91, Jain's Fairness Index=0.25, PDR=81.79
episode=10, mum of sent packets=4536, num of lost packets=powerloss:426+collided:350=776, MinEnergyEfficiency=0.55, MaxEnergyEfficiency=92.33, Jain's Fairness Index=0.23, PDR=82.76
episode=11, mum of sent packets=4440, num of lost packets=powerloss:441+collided:370=811, MinEnergyEfficiency=0.53, MaxEnergyEfficiency=85.76, Jain's Fairness Index=0.25, PDR=81.67
episode=12, mum of sent packets=4492, num of lost packets=powerloss:453+collided:341=794, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=89.32, Jain's Fairness Index=0.25, PDR=82.26
episode=13, mum of sent packets=4367, num of lost packets=powerloss:356+collided:318=674, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=110.68, Jain's Fairness Index=0.21, PDR=84.47
episode=14, mum of sent packets=4538, num of lost packets=powerloss:415+collided:398=813, MinEnergyEfficiency=0.54, MaxEnergyEfficiency=106.10, Jain's Fairness Index=0.21, PDR=82.00
episode=15, mum of sent packets=4441, num of lost packets=powerloss:441+collided:397=838, MinEnergyEfficiency=0.54, MaxEnergyEfficiency=109.43, Jain's Fairness Index=0.18, PDR=81.02
episode=16, mum of sent packets=4453, num of lost packets=powerloss:431+collided:384=815, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=93.89, Jain's Fairness Index=0.20, PDR=81.65
episode=17, mum of sent packets=4385, num of lost packets=powerloss:402+collided:364=766, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=117.36, Jain's Fairness Index=0.20, PDR=82.42
episode=18, mum of sent packets=4554, num of lost packets=powerloss:386+collided:406=792, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=93.22, Jain's Fairness Index=0.24, PDR=82.45
episode=19, mum of sent packets=4594, num of lost packets=powerloss:378+collided:445=823, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=113.25, Jain's Fairness Index=0.19, PDR=82.02
episode=20, mum of sent packets=4443, num of lost packets=powerloss:348+collided:419=767, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=95.46, Jain's Fairness Index=0.20, PDR=82.58
episode=21, mum of sent packets=4538, num of lost packets=powerloss:345+collided:420=765, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=102.40, Jain's Fairness Index=0.20, PDR=82.94
episode=22, mum of sent packets=4550, num of lost packets=powerloss:345+collided:452=797, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=93.39, Jain's Fairness Index=0.20, PDR=82.46
episode=23, mum of sent packets=4490, num of lost packets=powerloss:374+collided:378=752, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=92.64, Jain's Fairness Index=0.21, PDR=83.16
episode=24, mum of sent packets=4489, num of lost packets=powerloss:386+collided:432=818, MinEnergyEfficiency=0.52, MaxEnergyEfficiency=108.92, Jain's Fairness Index=0.18, PDR=81.62
episode=25, mum of sent packets=4517, num of lost packets=powerloss:410+collided:398=808, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=101.67, Jain's Fairness Index=0.19, PDR=82.02
episode=26, mum of sent packets=4509, num of lost packets=powerloss:353+collided:423=776, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=88.98, Jain's Fairness Index=0.21, PDR=82.72
