episode=0, mum of sent packets=4629, num of received packets=3007, num of lost packets=1618, PDR=64.96, actual sim duration=0.28
episode=1, mum of sent packets=4570, num of received packets=3312, num of lost packets=1254, PDR=72.47, actual sim duration=0.35
episode=2, mum of sent packets=4694, num of received packets=3504, num of lost packets=1187, PDR=74.65, actual sim duration=0.30
episode=3, mum of sent packets=4549, num of received packets=3433, num of lost packets=1108, PDR=75.47, actual sim duration=0.29
episode=4, mum of sent packets=4662, num of received packets=3505, num of lost packets=1153, PDR=75.18, actual sim duration=0.29
episode=5, mum of sent packets=4641, num of received packets=3506, num of lost packets=1133, PDR=75.54, actual sim duration=0.29
episode=6, mum of sent packets=4455, num of received packets=3307, num of lost packets=1143, PDR=74.23, actual sim duration=0.27
episode=7, mum of sent packets=4564, num of received packets=3440, num of lost packets=1123, PDR=75.37, actual sim duration=0.28
episode=8, mum of sent packets=4568, num of received packets=3476, num of lost packets=1086, PDR=76.09, actual sim duration=0.28
episode=9, mum of sent packets=4587, num of received packets=3411, num of lost packets=1173, PDR=74.36, actual sim duration=0.28
episode=10, mum of sent packets=4582, num of received packets=3534, num of lost packets=1045, PDR=77.13, actual sim duration=0.29
episode=11, mum of sent packets=4629, num of received packets=3557, num of lost packets=1069, PDR=76.84, actual sim duration=0.41
episode=12, mum of sent packets=4495, num of received packets=3433, num of lost packets=1059, PDR=76.37, actual sim duration=0.28
episode=13, mum of sent packets=4523, num of received packets=3526, num of lost packets=992, PDR=77.96, actual sim duration=0.29
episode=14, mum of sent packets=4637, num of received packets=3638, num of lost packets=997, PDR=78.46, actual sim duration=0.30
episode=15, mum of sent packets=4687, num of received packets=3722, num of lost packets=962, PDR=79.41, actual sim duration=0.29
episode=16, mum of sent packets=4603, num of received packets=3574, num of lost packets=1025, PDR=77.65, actual sim duration=0.29
episode=17, mum of sent packets=4494, num of received packets=3449, num of lost packets=1038, PDR=76.75, actual sim duration=0.28
episode=18, mum of sent packets=4615, num of received packets=3555, num of lost packets=1056, PDR=77.03, actual sim duration=0.30
episode=19, mum of sent packets=4648, num of received packets=3570, num of lost packets=1074, PDR=76.81, actual sim duration=0.29
episode=20, mum of sent packets=4580, num of received packets=3580, num of lost packets=994, PDR=78.17, actual sim duration=0.43
episode=21, mum of sent packets=4578, num of received packets=3581, num of lost packets=992, PDR=78.22, actual sim duration=0.29
episode=22, mum of sent packets=4657, num of received packets=3660, num of lost packets=992, PDR=78.59, actual sim duration=0.29
