episode=0, mum of sent packets=14095, num of received packets=7973, num of lost packets=6119, PDR=56.57, actual sim duration=1.29
episode=1, mum of sent packets=14053, num of received packets=8774, num of lost packets=5272, PDR=62.44, actual sim duration=1.25
episode=2, mum of sent packets=13779, num of received packets=8623, num of lost packets=5155, PDR=62.58, actual sim duration=1.21
episode=3, mum of sent packets=13980, num of received packets=8737, num of lost packets=5239, PDR=62.50, actual sim duration=1.34
episode=4, mum of sent packets=13879, num of received packets=8613, num of lost packets=5262, PDR=62.06, actual sim duration=1.21
episode=5, mum of sent packets=13936, num of received packets=8701, num of lost packets=5232, PDR=62.44, actual sim duration=1.22
episode=6, mum of sent packets=14046, num of received packets=8733, num of lost packets=5311, PDR=62.17, actual sim duration=1.38
episode=7, mum of sent packets=14054, num of received packets=8782, num of lost packets=5269, PDR=62.49, actual sim duration=1.24
episode=8, mum of sent packets=13930, num of received packets=8757, num of lost packets=5173, PDR=62.86, actual sim duration=1.22
episode=9, mum of sent packets=13874, num of received packets=8653, num of lost packets=5220, PDR=62.37, actual sim duration=1.21
episode=10, mum of sent packets=13880, num of received packets=8635, num of lost packets=5241, PDR=62.21, actual sim duration=1.41
episode=11, mum of sent packets=13976, num of received packets=8692, num of lost packets=5281, PDR=62.19, actual sim duration=1.23
episode=12, mum of sent packets=13755, num of received packets=8631, num of lost packets=5117, PDR=62.75, actual sim duration=1.20
episode=13, mum of sent packets=13950, num of received packets=8680, num of lost packets=5267, PDR=62.22, actual sim duration=1.22
episode=14, mum of sent packets=13888, num of received packets=8726, num of lost packets=5158, PDR=62.83, actual sim duration=1.44
episode=15, mum of sent packets=13908, num of received packets=8710, num of lost packets=5196, PDR=62.63, actual sim duration=1.22
episode=16, mum of sent packets=13992, num of received packets=8643, num of lost packets=5346, PDR=61.77, actual sim duration=1.22
episode=17, mum of sent packets=13994, num of received packets=8668, num of lost packets=5323, PDR=61.94, actual sim duration=1.22
episode=18, mum of sent packets=14071, num of received packets=8855, num of lost packets=5212, PDR=62.93, actual sim duration=1.25
episode=19, mum of sent packets=13827, num of received packets=8603, num of lost packets=5220, PDR=62.22, actual sim duration=1.47
episode=20, mum of sent packets=13940, num of received packets=8688, num of lost packets=5246, PDR=62.32, actual sim duration=1.20
episode=21, mum of sent packets=13776, num of received packets=8600, num of lost packets=5171, PDR=62.43, actual sim duration=1.19
episode=22, mum of sent packets=13984, num of received packets=8708, num of lost packets=5274, PDR=62.27, actual sim duration=1.22
episode=23, mum of sent packets=13948, num of received packets=8664, num of lost packets=5279, PDR=62.12, actual sim duration=1.21
episode=24, mum of sent packets=14017, num of received packets=8672, num of lost packets=5340, PDR=61.87, actual sim duration=1.21
episode=25, mum of sent packets=13920, num of received packets=8807, num of lost packets=5108, PDR=63.27, actual sim duration=1.49
episode=26, mum of sent packets=13821, num of received packets=8762, num of lost packets=5056, PDR=63.40, actual sim duration=1.23
episode=27, mum of sent packets=13770, num of received packets=8705, num of lost packets=5061, PDR=63.22, actual sim duration=1.20
episode=28, mum of sent packets=14055, num of received packets=8708, num of lost packets=5346, PDR=61.96, actual sim duration=1.21
episode=29, mum of sent packets=13985, num of received packets=8803, num of lost packets=5181, PDR=62.95, actual sim duration=1.20
episode=30, mum of sent packets=13912, num of received packets=8664, num of lost packets=5246, PDR=62.28, actual sim duration=1.21
episode=31, mum of sent packets=13854, num of received packets=8639, num of lost packets=5209, PDR=62.36, actual sim duration=1.20
episode=32, mum of sent packets=14059, num of received packets=8683, num of lost packets=5373, PDR=61.76, actual sim duration=1.21
episode=33, mum of sent packets=13901, num of received packets=8757, num of lost packets=5141, PDR=63.00, actual sim duration=1.62
episode=34, mum of sent packets=13708, num of received packets=8596, num of lost packets=5111, PDR=62.71, actual sim duration=1.21
episode=35, mum of sent packets=13828, num of received packets=8657, num of lost packets=5168, PDR=62.60, actual sim duration=1.21
episode=36, mum of sent packets=13669, num of received packets=8554, num of lost packets=5110, PDR=62.58, actual sim duration=1.18
episode=37, mum of sent packets=13945, num of received packets=8825, num of lost packets=5117, PDR=63.28, actual sim duration=1.20
episode=38, mum of sent packets=14002, num of received packets=8751, num of lost packets=5249, PDR=62.50, actual sim duration=1.22
episode=39, mum of sent packets=13993, num of received packets=8809, num of lost packets=5181, PDR=62.95, actual sim duration=1.22
episode=40, mum of sent packets=14034, num of received packets=8698, num of lost packets=5331, PDR=61.98, actual sim duration=1.21
episode=41, mum of sent packets=14075, num of received packets=8860, num of lost packets=5210, PDR=62.95, actual sim duration=1.22
episode=42, mum of sent packets=13925, num of received packets=8749, num of lost packets=5174, PDR=62.83, actual sim duration=1.20
episode=43, mum of sent packets=13905, num of received packets=8748, num of lost packets=5153, PDR=62.91, actual sim duration=1.70
episode=44, mum of sent packets=13814, num of received packets=8541, num of lost packets=5267, PDR=61.83, actual sim duration=1.20
