episode=0, mum of sent packets=4673, num of lost packets=powerloss:797+collided:588=1385, MinEnergyEfficiency=1.26, MaxEnergyEfficiency=31.73, Jain's Fairness Index=0.58, PDR=70.32
episode=1, mum of sent packets=4653, num of lost packets=powerloss:544+collided:451=995, MinEnergyEfficiency=1.09, MaxEnergyEfficiency=32.64, Jain's Fairness Index=0.53, PDR=78.55
episode=2, mum of sent packets=4654, num of lost packets=powerloss:448+collided:447=895, MinEnergyEfficiency=0.83, MaxEnergyEfficiency=59.53, Jain's Fairness Index=0.39, PDR=80.66
episode=3, mum of sent packets=4665, num of lost packets=powerloss:386+collided:394=780, MinEnergyEfficiency=0.84, MaxEnergyEfficiency=63.25, Jain's Fairness Index=0.37, PDR=83.26
episode=4, mum of sent packets=4729, num of lost packets=powerloss:410+collided:351=761, MinEnergyEfficiency=0.95, MaxEnergyEfficiency=68.64, Jain's Fairness Index=0.37, PDR=83.91
episode=5, mum of sent packets=4694, num of lost packets=powerloss:366+collided:394=760, MinEnergyEfficiency=0.88, MaxEnergyEfficiency=88.26, Jain's Fairness Index=0.30, PDR=83.77
episode=6, mum of sent packets=4640, num of lost packets=powerloss:397+collided:416=813, MinEnergyEfficiency=0.85, MaxEnergyEfficiency=72.96, Jain's Fairness Index=0.34, PDR=82.39
episode=7, mum of sent packets=4698, num of lost packets=powerloss:355+collided:395=750, MinEnergyEfficiency=0.90, MaxEnergyEfficiency=116.28, Jain's Fairness Index=0.23, PDR=83.97
episode=8, mum of sent packets=4545, num of lost packets=powerloss:340+collided:356=696, MinEnergyEfficiency=0.96, MaxEnergyEfficiency=55.33, Jain's Fairness Index=0.36, PDR=84.66
episode=9, mum of sent packets=4677, num of lost packets=powerloss:349+collided:444=793, MinEnergyEfficiency=0.82, MaxEnergyEfficiency=89.24, Jain's Fairness Index=0.28, PDR=82.98
episode=10, mum of sent packets=4672, num of lost packets=powerloss:345+collided:432=777, MinEnergyEfficiency=0.94, MaxEnergyEfficiency=54.18, Jain's Fairness Index=0.40, PDR=83.20
episode=11, mum of sent packets=4589, num of lost packets=powerloss:378+collided:416=794, MinEnergyEfficiency=0.90, MaxEnergyEfficiency=76.15, Jain's Fairness Index=0.31, PDR=82.57
episode=12, mum of sent packets=4535, num of lost packets=powerloss:312+collided:430=742, MinEnergyEfficiency=0.89, MaxEnergyEfficiency=107.44, Jain's Fairness Index=0.22, PDR=83.55
episode=13, mum of sent packets=4646, num of lost packets=powerloss:296+collided:372=668, MinEnergyEfficiency=0.94, MaxEnergyEfficiency=98.95, Jain's Fairness Index=0.26, PDR=85.54
episode=14, mum of sent packets=4684, num of lost packets=powerloss:325+collided:358=683, MinEnergyEfficiency=0.95, MaxEnergyEfficiency=99.05, Jain's Fairness Index=0.25, PDR=85.25
