episode=0, mum of sent packets=4574, num of lost packets=powerloss:1982+collided:401=2383, MinEnergyEfficiency=8.89, MaxEnergyEfficiency=84.35, Jain's Fairness Index=0.73, PDR=47.75
episode=1, mum of sent packets=4553, num of lost packets=powerloss:1645+collided:421=2066, MinEnergyEfficiency=8.18, MaxEnergyEfficiency=125.16, Jain's Fairness Index=0.53, PDR=54.47
episode=2, mum of sent packets=4574, num of lost packets=powerloss:1640+collided:435=2075, MinEnergyEfficiency=6.07, MaxEnergyEfficiency=119.06, Jain's Fairness Index=0.61, PDR=54.55
episode=3, mum of sent packets=4456, num of lost packets=powerloss:1298+collided:479=1777, MinEnergyEfficiency=2.88, MaxEnergyEfficiency=188.68, Jain's Fairness Index=0.46, PDR=60.08
episode=4, mum of sent packets=4542, num of lost packets=powerloss:1229+collided:487=1716, MinEnergyEfficiency=3.27, MaxEnergyEfficiency=132.11, Jain's Fairness Index=0.52, PDR=62.13
episode=5, mum of sent packets=4653, num of lost packets=powerloss:1344+collided:490=1834, MinEnergyEfficiency=4.36, MaxEnergyEfficiency=190.68, Jain's Fairness Index=0.46, PDR=60.50
episode=6, mum of sent packets=4544, num of lost packets=powerloss:1310+collided:438=1748, MinEnergyEfficiency=4.01, MaxEnergyEfficiency=167.18, Jain's Fairness Index=0.47, PDR=61.44
episode=7, mum of sent packets=4505, num of lost packets=powerloss:1217+collided:478=1695, MinEnergyEfficiency=3.32, MaxEnergyEfficiency=416.32, Jain's Fairness Index=0.28, PDR=62.24
episode=8, mum of sent packets=4437, num of lost packets=powerloss:1121+collided:452=1573, MinEnergyEfficiency=3.35, MaxEnergyEfficiency=437.43, Jain's Fairness Index=0.25, PDR=64.39
episode=9, mum of sent packets=4534, num of lost packets=powerloss:1045+collided:546=1591, MinEnergyEfficiency=3.16, MaxEnergyEfficiency=474.96, Jain's Fairness Index=0.22, PDR=64.82
episode=10, mum of sent packets=4521, num of lost packets=powerloss:1053+collided:510=1563, MinEnergyEfficiency=3.09, MaxEnergyEfficiency=446.84, Jain's Fairness Index=0.24, PDR=65.32
episode=11, mum of sent packets=4421, num of lost packets=powerloss:1043+collided:495=1538, MinEnergyEfficiency=3.45, MaxEnergyEfficiency=435.53, Jain's Fairness Index=0.25, PDR=64.96
episode=12, mum of sent packets=4461, num of lost packets=powerloss:1084+collided:488=1572, MinEnergyEfficiency=3.14, MaxEnergyEfficiency=307.99, Jain's Fairness Index=0.31, PDR=64.69
episode=13, mum of sent packets=4389, num of lost packets=powerloss:1009+collided:423=1432, MinEnergyEfficiency=2.53, MaxEnergyEfficiency=458.27, Jain's Fairness Index=0.24, PDR=67.26
episode=14, mum of sent packets=4570, num of lost packets=powerloss:1032+collided:485=1517, MinEnergyEfficiency=3.39, MaxEnergyEfficiency=441.72, Jain's Fairness Index=0.23, PDR=66.67
episode=15, mum of sent packets=4460, num of lost packets=powerloss:1058+collided:473=1531, MinEnergyEfficiency=3.89, MaxEnergyEfficiency=375.55, Jain's Fairness Index=0.25, PDR=65.56
episode=16, mum of sent packets=4418, num of lost packets=powerloss:997+collided:495=1492, MinEnergyEfficiency=3.07, MaxEnergyEfficiency=389.93, Jain's Fairness Index=0.27, PDR=66.07
episode=17, mum of sent packets=4377, num of lost packets=powerloss:868+collided:495=1363, MinEnergyEfficiency=2.80, MaxEnergyEfficiency=450.28, Jain's Fairness Index=0.22, PDR=68.75
episode=18, mum of sent packets=4538, num of lost packets=powerloss:879+collided:595=1474, MinEnergyEfficiency=3.39, MaxEnergyEfficiency=444.75, Jain's Fairness Index=0.22, PDR=67.41
episode=19, mum of sent packets=4581, num of lost packets=powerloss:930+collided:581=1511, MinEnergyEfficiency=3.39, MaxEnergyEfficiency=430.33, Jain's Fairness Index=0.23, PDR=66.97
episode=20, mum of sent packets=4486, num of lost packets=powerloss:949+collided:477=1426, MinEnergyEfficiency=3.73, MaxEnergyEfficiency=535.10, Jain's Fairness Index=0.22, PDR=68.06
episode=21, mum of sent packets=4575, num of lost packets=powerloss:932+collided:470=1402, MinEnergyEfficiency=3.79, MaxEnergyEfficiency=387.40, Jain's Fairness Index=0.24, PDR=69.31
episode=22, mum of sent packets=4609, num of lost packets=powerloss:975+collided:436=1411, MinEnergyEfficiency=3.59, MaxEnergyEfficiency=383.89, Jain's Fairness Index=0.25, PDR=69.26
episode=23, mum of sent packets=4492, num of lost packets=powerloss:887+collided:481=1368, MinEnergyEfficiency=3.09, MaxEnergyEfficiency=461.79, Jain's Fairness Index=0.21, PDR=69.50
episode=24, mum of sent packets=4517, num of lost packets=powerloss:958+collided:445=1403, MinEnergyEfficiency=2.89, MaxEnergyEfficiency=411.89, Jain's Fairness Index=0.25, PDR=68.87
episode=25, mum of sent packets=4540, num of lost packets=powerloss:881+collided:445=1326, MinEnergyEfficiency=3.42, MaxEnergyEfficiency=501.01, Jain's Fairness Index=0.22, PDR=70.59
episode=26, mum of sent packets=4525, num of lost packets=powerloss:958+collided:417=1375, MinEnergyEfficiency=3.10, MaxEnergyEfficiency=495.71, Jain's Fairness Index=0.24, PDR=69.46
episode=27, mum of sent packets=4525, num of lost packets=powerloss:880+collided:412=1292, MinEnergyEfficiency=3.13, MaxEnergyEfficiency=465.38, Jain's Fairness Index=0.24, PDR=71.34
episode=28, mum of sent packets=4542, num of lost packets=powerloss:867+collided:436=1303, MinEnergyEfficiency=3.33, MaxEnergyEfficiency=432.57, Jain's Fairness Index=0.24, PDR=71.22
episode=29, mum of sent packets=4506, num of lost packets=powerloss:842+collided:447=1289, MinEnergyEfficiency=2.77, MaxEnergyEfficiency=435.70, Jain's Fairness Index=0.22, PDR=71.30
episode=30, mum of sent packets=4534, num of lost packets=powerloss:930+collided:464=1394, MinEnergyEfficiency=3.02, MaxEnergyEfficiency=451.97, Jain's Fairness Index=0.24, PDR=69.14
episode=31, mum of sent packets=4471, num of lost packets=powerloss:903+collided:451=1354, MinEnergyEfficiency=2.60, MaxEnergyEfficiency=454.88, Jain's Fairness Index=0.23, PDR=69.63
episode=32, mum of sent packets=4619, num of lost packets=powerloss:874+collided:378=1252, MinEnergyEfficiency=3.89, MaxEnergyEfficiency=421.97, Jain's Fairness Index=0.26, PDR=72.79
episode=33, mum of sent packets=4608, num of lost packets=powerloss:888+collided:366=1254, MinEnergyEfficiency=3.52, MaxEnergyEfficiency=437.20, Jain's Fairness Index=0.25, PDR=72.57
episode=34, mum of sent packets=4462, num of lost packets=powerloss:808+collided:411=1219, MinEnergyEfficiency=3.67, MaxEnergyEfficiency=409.94, Jain's Fairness Index=0.25, PDR=72.57
episode=35, mum of sent packets=4466, num of lost packets=powerloss:923+collided:367=1290, MinEnergyEfficiency=2.73, MaxEnergyEfficiency=436.19, Jain's Fairness Index=0.26, PDR=70.96
episode=36, mum of sent packets=4444, num of lost packets=powerloss:859+collided:422=1281, MinEnergyEfficiency=2.67, MaxEnergyEfficiency=440.37, Jain's Fairness Index=0.26, PDR=71.08
episode=37, mum of sent packets=4447, num of lost packets=powerloss:888+collided:386=1274, MinEnergyEfficiency=3.48, MaxEnergyEfficiency=431.80, Jain's Fairness Index=0.27, PDR=71.10
episode=38, mum of sent packets=4355, num of lost packets=powerloss:856+collided:426=1282, MinEnergyEfficiency=2.96, MaxEnergyEfficiency=467.93, Jain's Fairness Index=0.21, PDR=70.42
episode=39, mum of sent packets=4539, num of lost packets=powerloss:918+collided:366=1284, MinEnergyEfficiency=3.34, MaxEnergyEfficiency=414.38, Jain's Fairness Index=0.23, PDR=71.62
episode=40, mum of sent packets=4455, num of lost packets=powerloss:875+collided:387=1262, MinEnergyEfficiency=3.98, MaxEnergyEfficiency=439.50, Jain's Fairness Index=0.25, PDR=71.60
episode=41, mum of sent packets=4523, num of lost packets=powerloss:939+collided:373=1312, MinEnergyEfficiency=3.65, MaxEnergyEfficiency=398.61, Jain's Fairness Index=0.25, PDR=70.88
episode=42, mum of sent packets=4519, num of lost packets=powerloss:876+collided:468=1344, MinEnergyEfficiency=4.02, MaxEnergyEfficiency=416.51, Jain's Fairness Index=0.24, PDR=70.15
episode=43, mum of sent packets=4422, num of lost packets=powerloss:890+collided:350=1240, MinEnergyEfficiency=3.77, MaxEnergyEfficiency=473.46, Jain's Fairness Index=0.23, PDR=71.91
episode=44, mum of sent packets=4572, num of lost packets=powerloss:806+collided:410=1216, MinEnergyEfficiency=3.43, MaxEnergyEfficiency=450.85, Jain's Fairness Index=0.24, PDR=73.36
episode=45, mum of sent packets=4570, num of lost packets=powerloss:856+collided:412=1268, MinEnergyEfficiency=3.82, MaxEnergyEfficiency=387.76, Jain's Fairness Index=0.25, PDR=72.17
episode=46, mum of sent packets=4580, num of lost packets=powerloss:809+collided:442=1251, MinEnergyEfficiency=4.23, MaxEnergyEfficiency=440.83, Jain's Fairness Index=0.24, PDR=72.62
episode=47, mum of sent packets=4627, num of lost packets=powerloss:814+collided:455=1269, MinEnergyEfficiency=3.47, MaxEnergyEfficiency=466.22, Jain's Fairness Index=0.20, PDR=72.49
episode=48, mum of sent packets=4499, num of lost packets=powerloss:835+collided:375=1210, MinEnergyEfficiency=3.74, MaxEnergyEfficiency=379.39, Jain's Fairness Index=0.28, PDR=72.95
episode=49, mum of sent packets=4515, num of lost packets=powerloss:837+collided:429=1266, MinEnergyEfficiency=4.17, MaxEnergyEfficiency=402.98, Jain's Fairness Index=0.25, PDR=71.85
episode=50, mum of sent packets=4505, num of lost packets=powerloss:829+collided:364=1193, MinEnergyEfficiency=3.36, MaxEnergyEfficiency=509.33, Jain's Fairness Index=0.21, PDR=73.39
episode=51, mum of sent packets=4552, num of lost packets=powerloss:843+collided:406=1249, MinEnergyEfficiency=3.93, MaxEnergyEfficiency=468.63, Jain's Fairness Index=0.22, PDR=72.43
episode=52, mum of sent packets=4512, num of lost packets=powerloss:791+collided:361=1152, MinEnergyEfficiency=3.76, MaxEnergyEfficiency=468.26, Jain's Fairness Index=0.21, PDR=74.42
episode=53, mum of sent packets=4435, num of lost packets=powerloss:835+collided:363=1198, MinEnergyEfficiency=4.26, MaxEnergyEfficiency=472.90, Jain's Fairness Index=0.25, PDR=72.78
episode=54, mum of sent packets=4521, num of lost packets=powerloss:856+collided:415=1271, MinEnergyEfficiency=3.73, MaxEnergyEfficiency=628.81, Jain's Fairness Index=0.18, PDR=71.80
episode=55, mum of sent packets=4406, num of lost packets=powerloss:730+collided:368=1098, MinEnergyEfficiency=3.78, MaxEnergyEfficiency=413.87, Jain's Fairness Index=0.22, PDR=75.03
episode=56, mum of sent packets=4512, num of lost packets=powerloss:852+collided:430=1282, MinEnergyEfficiency=3.89, MaxEnergyEfficiency=408.23, Jain's Fairness Index=0.24, PDR=71.50
episode=57, mum of sent packets=4594, num of lost packets=powerloss:806+collided:405=1211, MinEnergyEfficiency=3.97, MaxEnergyEfficiency=404.15, Jain's Fairness Index=0.24, PDR=73.51
episode=58, mum of sent packets=4490, num of lost packets=powerloss:800+collided:364=1164, MinEnergyEfficiency=3.89, MaxEnergyEfficiency=444.35, Jain's Fairness Index=0.23, PDR=73.94
episode=59, mum of sent packets=4585, num of lost packets=powerloss:762+collided:374=1136, MinEnergyEfficiency=3.79, MaxEnergyEfficiency=499.73, Jain's Fairness Index=0.21, PDR=75.11
episode=60, mum of sent packets=4542, num of lost packets=powerloss:803+collided:395=1198, MinEnergyEfficiency=3.73, MaxEnergyEfficiency=469.27, Jain's Fairness Index=0.22, PDR=73.51
episode=61, mum of sent packets=4644, num of lost packets=powerloss:782+collided:425=1207, MinEnergyEfficiency=3.67, MaxEnergyEfficiency=457.71, Jain's Fairness Index=0.20, PDR=73.90
episode=62, mum of sent packets=4527, num of lost packets=powerloss:817+collided:447=1264, MinEnergyEfficiency=3.72, MaxEnergyEfficiency=418.64, Jain's Fairness Index=0.23, PDR=71.97
