episode=0 PDR=51.27 EE=17.71
episode=1 PDR=59.70 EE=18.27
episode=2 PDR=64.06 EE=17.85
episode=3 PDR=64.60 EE=16.79
episode=4 PDR=65.71 EE=17.67
episode=5 PDR=66.94 EE=17.55
episode=6 PDR=67.37 EE=17.62
episode=7 PDR=68.10 EE=17.32
episode=8 PDR=69.98 EE=16.76
episode=9 PDR=70.27 EE=17.02
episode=10 PDR=69.80 EE=17.69
episode=11 PDR=70.20 EE=17.85
episode=12 PDR=70.77 EE=18.11
episode=13 PDR=71.93 EE=18.03
episode=14 PDR=71.61 EE=18.08
episode=15 PDR=71.57 EE=17.92
episode=16 PDR=71.08 EE=17.33
episode=17 PDR=71.26 EE=17.99
episode=18 PDR=72.95 EE=19.58
episode=19 PDR=73.02 EE=19.07
episode=20 PDR=72.76 EE=16.90
episode=21 PDR=73.79 EE=17.93
episode=22 PDR=70.72 EE=16.64
episode=23 PDR=72.38 EE=17.21
episode=24 PDR=71.59 EE=17.45
episode=25 PDR=71.45 EE=16.93
episode=26 PDR=72.18 EE=17.68
episode=27 PDR=72.18 EE=17.47
episode=28 PDR=72.87 EE=17.43
episode=29 PDR=73.01 EE=16.29
episode=30 PDR=73.43 EE=16.19
episode=31 PDR=72.07 EE=16.01
episode=32 PDR=70.99 EE=15.98
episode=33 PDR=73.74 EE=17.30
episode=34 PDR=72.29 EE=17.08
episode=35 PDR=73.57 EE=16.99
episode=36 PDR=73.07 EE=16.06
episode=37 PDR=72.76 EE=15.44
episode=38 PDR=72.38 EE=15.34
episode=39 PDR=72.50 EE=15.43
episode=40 PDR=73.50 EE=15.08
episode=41 PDR=73.31 EE=15.88
episode=42 PDR=74.74 EE=15.63
episode=43 PDR=73.80 EE=15.41
episode=44 PDR=74.58 EE=15.37
episode=45 PDR=74.00 EE=15.40
episode=46 PDR=75.12 EE=15.25
episode=47 PDR=72.98 EE=15.27
episode=48 PDR=73.45 EE=15.15
episode=49 PDR=73.91 EE=15.41
episode=50 PDR=74.50 EE=16.03
episode=51 PDR=74.47 EE=16.19
episode=52 PDR=74.73 EE=15.96
episode=53 PDR=73.94 EE=15.84
episode=54 PDR=74.59 EE=15.94
episode=55 PDR=74.43 EE=16.36
