episode=0 PDR=67.77 EE=36.39
episode=1 PDR=72.48 EE=40.98
episode=2 PDR=72.88 EE=41.35
episode=3 PDR=74.86 EE=44.68
episode=4 PDR=74.08 EE=42.53
episode=5 PDR=74.08 EE=41.96
episode=6 PDR=74.78 EE=41.74
episode=7 PDR=75.08 EE=43.62
episode=8 PDR=75.39 EE=45.52
episode=9 PDR=75.75 EE=46.14
episode=10 PDR=75.48 EE=46.08
episode=11 PDR=75.52 EE=43.34
episode=12 PDR=74.86 EE=47.40
episode=13 PDR=76.38 EE=47.84
episode=14 PDR=76.27 EE=44.98
episode=15 PDR=76.07 EE=46.24
episode=16 PDR=75.62 EE=46.42
episode=17 PDR=75.75 EE=46.93
episode=18 PDR=74.69 EE=43.87
episode=19 PDR=74.95 EE=45.73
episode=20 PDR=74.99 EE=44.57
episode=21 PDR=75.48 EE=48.98
episode=22 PDR=75.09 EE=45.78
episode=23 PDR=74.93 EE=47.22
episode=24 PDR=77.33 EE=48.81
episode=25 PDR=76.43 EE=49.00
episode=26 PDR=77.41 EE=54.27
episode=27 PDR=75.72 EE=47.11
episode=28 PDR=77.08 EE=48.26
episode=29 PDR=76.37 EE=44.13
episode=30 PDR=76.37 EE=50.48
episode=31 PDR=76.84 EE=48.63
episode=32 PDR=76.14 EE=47.94
episode=33 PDR=76.26 EE=48.72
episode=34 PDR=77.53 EE=48.43
episode=35 PDR=76.60 EE=47.68
episode=36 PDR=75.79 EE=47.58
episode=37 PDR=76.21 EE=47.37
episode=38 PDR=76.54 EE=48.77
episode=39 PDR=75.78 EE=48.40
episode=40 PDR=76.18 EE=47.82
episode=41 PDR=75.84 EE=46.67
episode=42 PDR=75.26 EE=47.54
episode=43 PDR=74.74 EE=44.19
episode=44 PDR=76.66 EE=44.84
episode=45 PDR=75.40 EE=47.41
episode=46 PDR=75.68 EE=45.40
episode=47 PDR=75.34 EE=45.32
episode=48 PDR=76.54 EE=46.03
episode=49 PDR=76.03 EE=46.52
episode=50 PDR=75.98 EE=46.25
episode=51 PDR=75.61 EE=45.55
episode=52 PDR=75.75 EE=44.37
episode=53 PDR=76.24 EE=49.74
episode=54 PDR=75.66 EE=48.56
episode=55 PDR=77.38 EE=50.48
episode=56 PDR=77.23 EE=50.60
episode=57 PDR=76.85 EE=51.02
episode=58 PDR=76.16 EE=48.92
episode=59 PDR=77.06 EE=52.06
episode=60 PDR=76.63 EE=52.48
episode=61 PDR=76.10 EE=49.89
episode=62 PDR=76.49 EE=50.61
episode=63 PDR=75.59 EE=49.13
episode=64 PDR=75.72 EE=47.01
episode=65 PDR=75.95 EE=48.41
episode=66 PDR=76.98 EE=51.29
episode=67 PDR=77.19 EE=50.60
episode=68 PDR=76.36 EE=50.60
episode=69 PDR=75.85 EE=50.48
episode=70 PDR=76.17 EE=46.68
episode=71 PDR=76.85 EE=48.61
episode=72 PDR=76.85 EE=50.06
episode=73 PDR=76.47 EE=47.38
episode=74 PDR=76.47 EE=47.74
episode=75 PDR=76.64 EE=46.51
episode=76 PDR=76.50 EE=47.19
episode=77 PDR=77.09 EE=47.32
episode=78 PDR=78.19 EE=47.03
episode=79 PDR=76.62 EE=48.76
