episode=0, mum of sent packets=14530, num of received packets=8692, num of lost packets=5837, PDR=59.82, actual sim duration=1.07, parameter update time=0.00
episode=1, mum of sent packets=14296, num of received packets=8600, num of lost packets=5694, PDR=60.16, actual sim duration=1.01, parameter update time=0.00
episode=2, mum of sent packets=14410, num of received packets=8723, num of lost packets=5684, PDR=60.53, actual sim duration=1.02, parameter update time=0.00
episode=3, mum of sent packets=14345, num of received packets=8993, num of lost packets=5351, PDR=62.69, actual sim duration=1.15, parameter update time=0.00
episode=4, mum of sent packets=14289, num of received packets=9278, num of lost packets=5009, PDR=64.93, actual sim duration=1.01, parameter update time=0.00
episode=5, mum of sent packets=14078, num of received packets=9173, num of lost packets=4903, PDR=65.16, actual sim duration=0.99, parameter update time=0.00
episode=6, mum of sent packets=14411, num of received packets=9424, num of lost packets=4985, PDR=65.39, actual sim duration=1.15, parameter update time=0.00
episode=7, mum of sent packets=14286, num of received packets=9279, num of lost packets=5004, PDR=64.95, actual sim duration=1.01, parameter update time=0.00
episode=8, mum of sent packets=14427, num of received packets=9302, num of lost packets=5122, PDR=64.48, actual sim duration=1.02, parameter update time=0.00
episode=9, mum of sent packets=14373, num of received packets=9422, num of lost packets=4949, PDR=65.55, actual sim duration=1.01, parameter update time=0.00
episode=10, mum of sent packets=14470, num of received packets=9302, num of lost packets=5165, PDR=64.28, actual sim duration=1.19, parameter update time=0.00
episode=11, mum of sent packets=14425, num of received packets=9387, num of lost packets=5034, PDR=65.07, actual sim duration=1.01, parameter update time=0.00
episode=12, mum of sent packets=14482, num of received packets=9467, num of lost packets=5014, PDR=65.37, actual sim duration=1.02, parameter update time=0.00
episode=13, mum of sent packets=14492, num of received packets=9537, num of lost packets=4954, PDR=65.81, actual sim duration=1.02, parameter update time=0.00
episode=14, mum of sent packets=14279, num of received packets=9523, num of lost packets=4753, PDR=66.69, actual sim duration=1.20, parameter update time=0.00
episode=15, mum of sent packets=14353, num of received packets=9515, num of lost packets=4837, PDR=66.29, actual sim duration=1.01, parameter update time=0.00
episode=16, mum of sent packets=14254, num of received packets=9356, num of lost packets=4894, PDR=65.64, actual sim duration=1.01, parameter update time=0.00
episode=17, mum of sent packets=14554, num of received packets=9687, num of lost packets=4865, PDR=66.56, actual sim duration=1.02, parameter update time=0.00
episode=18, mum of sent packets=14451, num of received packets=9726, num of lost packets=4725, PDR=67.30, actual sim duration=1.20, parameter update time=0.00
episode=19, mum of sent packets=14108, num of received packets=9507, num of lost packets=4599, PDR=67.39, actual sim duration=0.99, parameter update time=0.00
episode=20, mum of sent packets=14234, num of received packets=9673, num of lost packets=4558, PDR=67.96, actual sim duration=0.99, parameter update time=0.00
episode=21, mum of sent packets=14251, num of received packets=9654, num of lost packets=4595, PDR=67.74, actual sim duration=0.99, parameter update time=0.00
episode=22, mum of sent packets=14204, num of received packets=9637, num of lost packets=4562, PDR=67.85, actual sim duration=1.00, parameter update time=0.00
episode=23, mum of sent packets=14435, num of received packets=9759, num of lost packets=4669, PDR=67.61, actual sim duration=1.01, parameter update time=0.00
episode=24, mum of sent packets=14264, num of received packets=9741, num of lost packets=4519, PDR=68.29, actual sim duration=1.00, parameter update time=0.00
episode=25, mum of sent packets=14341, num of received packets=9601, num of lost packets=4738, PDR=66.95, actual sim duration=1.32, parameter update time=0.00
episode=26, mum of sent packets=14450, num of received packets=9648, num of lost packets=4800, PDR=66.77, actual sim duration=1.02, parameter update time=0.00
episode=27, mum of sent packets=14128, num of received packets=9530, num of lost packets=4597, PDR=67.45, actual sim duration=0.99, parameter update time=0.00
episode=28, mum of sent packets=14195, num of received packets=9549, num of lost packets=4643, PDR=67.27, actual sim duration=1.00, parameter update time=0.00
episode=29, mum of sent packets=14251, num of received packets=9662, num of lost packets=4586, PDR=67.80, actual sim duration=1.00, parameter update time=0.00
episode=30, mum of sent packets=14273, num of received packets=9677, num of lost packets=4591, PDR=67.80, actual sim duration=1.00, parameter update time=0.00
episode=31, mum of sent packets=14345, num of received packets=9732, num of lost packets=4610, PDR=67.84, actual sim duration=1.00, parameter update time=0.00
episode=32, mum of sent packets=14377, num of received packets=9673, num of lost packets=4700, PDR=67.28, actual sim duration=1.34, parameter update time=0.00
episode=33, mum of sent packets=14478, num of received packets=9654, num of lost packets=4821, PDR=66.68, actual sim duration=1.02, parameter update time=0.00
episode=34, mum of sent packets=14370, num of received packets=9557, num of lost packets=4810, PDR=66.51, actual sim duration=1.01, parameter update time=0.00
episode=35, mum of sent packets=14173, num of received packets=9654, num of lost packets=4517, PDR=68.12, actual sim duration=0.99, parameter update time=0.00
episode=36, mum of sent packets=14444, num of received packets=9785, num of lost packets=4658, PDR=67.74, actual sim duration=1.01, parameter update time=0.00
episode=37, mum of sent packets=14360, num of received packets=9757, num of lost packets=4599, PDR=67.95, actual sim duration=1.00, parameter update time=0.00
episode=38, mum of sent packets=14377, num of received packets=9708, num of lost packets=4664, PDR=67.52, actual sim duration=1.00, parameter update time=0.00
episode=39, mum of sent packets=14095, num of received packets=9657, num of lost packets=4434, PDR=68.51, actual sim duration=0.98, parameter update time=0.00
episode=40, mum of sent packets=14231, num of received packets=9632, num of lost packets=4596, PDR=67.68, actual sim duration=1.00, parameter update time=0.00
episode=41, mum of sent packets=14261, num of received packets=9706, num of lost packets=4554, PDR=68.06, actual sim duration=1.47, parameter update time=0.00
episode=42, mum of sent packets=14298, num of received packets=9735, num of lost packets=4562, PDR=68.09, actual sim duration=1.01, parameter update time=0.00
episode=43, mum of sent packets=14254, num of received packets=9706, num of lost packets=4543, PDR=68.09, actual sim duration=1.00, parameter update time=0.00
episode=44, mum of sent packets=14173, num of received packets=9562, num of lost packets=4610, PDR=67.47, actual sim duration=0.99, parameter update time=0.00
episode=45, mum of sent packets=14213, num of received packets=9782, num of lost packets=4430, PDR=68.82, actual sim duration=0.99, parameter update time=0.00
episode=46, mum of sent packets=14309, num of received packets=9652, num of lost packets=4655, PDR=67.45, actual sim duration=1.00, parameter update time=0.00
episode=47, mum of sent packets=14244, num of received packets=9659, num of lost packets=4583, PDR=67.81, actual sim duration=0.99, parameter update time=0.00
episode=48, mum of sent packets=14297, num of received packets=9783, num of lost packets=4512, PDR=68.43, actual sim duration=1.00, parameter update time=0.00
episode=49, mum of sent packets=14132, num of received packets=9691, num of lost packets=4441, PDR=68.57, actual sim duration=0.99, parameter update time=0.00
