episode=0, mum of sent packets=4531, num of lost packets=powerloss:798+collided:551=1349, MinEnergyEfficiency=0.89, MaxEnergyEfficiency=115.75, Jain's Fairness Index=0.22, PDR=70.16
episode=1, mum of sent packets=4507, num of lost packets=powerloss:547+collided:491=1038, MinEnergyEfficiency=0.94, MaxEnergyEfficiency=83.15, Jain's Fairness Index=0.29, PDR=76.90
episode=2, mum of sent packets=4562, num of lost packets=powerloss:524+collided:486=1010, MinEnergyEfficiency=0.89, MaxEnergyEfficiency=72.83, Jain's Fairness Index=0.34, PDR=77.69
episode=3, mum of sent packets=4478, num of lost packets=powerloss:505+collided:441=946, MinEnergyEfficiency=0.91, MaxEnergyEfficiency=80.12, Jain's Fairness Index=0.29, PDR=78.76
episode=4, mum of sent packets=4543, num of lost packets=powerloss:515+collided:428=943, MinEnergyEfficiency=0.94, MaxEnergyEfficiency=88.62, Jain's Fairness Index=0.28, PDR=79.18
episode=5, mum of sent packets=4630, num of lost packets=powerloss:579+collided:453=1032, MinEnergyEfficiency=0.97, MaxEnergyEfficiency=86.34, Jain's Fairness Index=0.30, PDR=77.65
episode=6, mum of sent packets=4549, num of lost packets=powerloss:508+collided:404=912, MinEnergyEfficiency=0.87, MaxEnergyEfficiency=88.44, Jain's Fairness Index=0.30, PDR=79.84
episode=7, mum of sent packets=4513, num of lost packets=powerloss:517+collided:425=942, MinEnergyEfficiency=0.88, MaxEnergyEfficiency=112.18, Jain's Fairness Index=0.24, PDR=79.04
episode=8, mum of sent packets=4446, num of lost packets=powerloss:540+collided:377=917, MinEnergyEfficiency=0.96, MaxEnergyEfficiency=85.97, Jain's Fairness Index=0.30, PDR=79.26
episode=9, mum of sent packets=4556, num of lost packets=powerloss:514+collided:433=947, MinEnergyEfficiency=0.94, MaxEnergyEfficiency=73.71, Jain's Fairness Index=0.33, PDR=79.08
episode=10, mum of sent packets=4536, num of lost packets=powerloss:528+collided:445=973, MinEnergyEfficiency=0.95, MaxEnergyEfficiency=82.61, Jain's Fairness Index=0.32, PDR=78.51
episode=11, mum of sent packets=4451, num of lost packets=powerloss:530+collided:403=933, MinEnergyEfficiency=0.91, MaxEnergyEfficiency=98.03, Jain's Fairness Index=0.30, PDR=78.93
episode=12, mum of sent packets=4466, num of lost packets=powerloss:553+collided:435=988, MinEnergyEfficiency=0.73, MaxEnergyEfficiency=97.46, Jain's Fairness Index=0.31, PDR=77.72
episode=13, mum of sent packets=4363, num of lost packets=powerloss:523+collided:450=973, MinEnergyEfficiency=0.75, MaxEnergyEfficiency=98.80, Jain's Fairness Index=0.31, PDR=77.61
