episode=0, mum of sent packets=4536, num of lost packets=powerloss:809+collided:536=1345, MinEnergyEfficiency=0.51, MaxEnergyEfficiency=57.16, Jain's Fairness Index=0.42, PDR=70.24
episode=1, mum of sent packets=4558, num of lost packets=powerloss:521+collided:352=873, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=30.76, Jain's Fairness Index=0.55, PDR=80.78
episode=2, mum of sent packets=4567, num of lost packets=powerloss:417+collided:369=786, MinEnergyEfficiency=0.61, MaxEnergyEfficiency=20.99, Jain's Fairness Index=0.62, PDR=82.72
episode=3, mum of sent packets=4514, num of lost packets=powerloss:391+collided:361=752, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=20.28, Jain's Fairness Index=0.60, PDR=83.23
episode=4, mum of sent packets=4599, num of lost packets=powerloss:402+collided:310=712, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=22.25, Jain's Fairness Index=0.60, PDR=84.41
episode=5, mum of sent packets=4621, num of lost packets=powerloss:421+collided:336=757, MinEnergyEfficiency=0.62, MaxEnergyEfficiency=21.10, Jain's Fairness Index=0.62, PDR=83.49
episode=6, mum of sent packets=4584, num of lost packets=powerloss:346+collided:315=661, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=26.93, Jain's Fairness Index=0.57, PDR=85.58
episode=7, mum of sent packets=4543, num of lost packets=powerloss:357+collided:253=610, MinEnergyEfficiency=0.61, MaxEnergyEfficiency=21.87, Jain's Fairness Index=0.61, PDR=86.46
episode=8, mum of sent packets=4473, num of lost packets=powerloss:345+collided:261=606, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=25.79, Jain's Fairness Index=0.55, PDR=86.34
episode=9, mum of sent packets=4591, num of lost packets=powerloss:338+collided:274=612, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=19.19, Jain's Fairness Index=0.61, PDR=86.60
episode=10, mum of sent packets=4582, num of lost packets=powerloss:329+collided:265=594, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=23.42, Jain's Fairness Index=0.57, PDR=86.88
episode=11, mum of sent packets=4496, num of lost packets=powerloss:326+collided:304=630, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=25.32, Jain's Fairness Index=0.56, PDR=85.79
episode=12, mum of sent packets=4515, num of lost packets=powerloss:330+collided:234=564, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=25.89, Jain's Fairness Index=0.57, PDR=87.38
episode=13, mum of sent packets=4432, num of lost packets=powerloss:324+collided:291=615, MinEnergyEfficiency=0.54, MaxEnergyEfficiency=23.46, Jain's Fairness Index=0.56, PDR=85.99
episode=14, mum of sent packets=4598, num of lost packets=powerloss:342+collided:280=622, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=27.22, Jain's Fairness Index=0.52, PDR=86.34
episode=15, mum of sent packets=4488, num of lost packets=powerloss:333+collided:269=602, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=23.62, Jain's Fairness Index=0.55, PDR=86.54
episode=16, mum of sent packets=4451, num of lost packets=powerloss:326+collided:255=581, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=28.34, Jain's Fairness Index=0.52, PDR=86.81
episode=17, mum of sent packets=4436, num of lost packets=powerloss:316+collided:270=586, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=26.28, Jain's Fairness Index=0.52, PDR=86.72
episode=18, mum of sent packets=4632, num of lost packets=powerloss:330+collided:310=640, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=22.70, Jain's Fairness Index=0.54, PDR=86.08
episode=19, mum of sent packets=4633, num of lost packets=powerloss:315+collided:276=591, MinEnergyEfficiency=0.54, MaxEnergyEfficiency=25.97, Jain's Fairness Index=0.51, PDR=87.18
episode=20, mum of sent packets=4544, num of lost packets=powerloss:303+collided:249=552, MinEnergyEfficiency=0.61, MaxEnergyEfficiency=23.23, Jain's Fairness Index=0.55, PDR=87.76
episode=21, mum of sent packets=4625, num of lost packets=powerloss:316+collided:287=603, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=25.30, Jain's Fairness Index=0.53, PDR=86.81
episode=22, mum of sent packets=4576, num of lost packets=powerloss:316+collided:272=588, MinEnergyEfficiency=0.53, MaxEnergyEfficiency=25.07, Jain's Fairness Index=0.54, PDR=87.04
episode=23, mum of sent packets=4558, num of lost packets=powerloss:332+collided:251=583, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=24.40, Jain's Fairness Index=0.52, PDR=87.06
episode=24, mum of sent packets=4558, num of lost packets=powerloss:345+collided:260=605, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=26.45, Jain's Fairness Index=0.51, PDR=86.64
episode=25, mum of sent packets=4563, num of lost packets=powerloss:334+collided:280=614, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=26.49, Jain's Fairness Index=0.50, PDR=86.41
episode=26, mum of sent packets=4573, num of lost packets=powerloss:328+collided:250=578, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=16.58, Jain's Fairness Index=0.58, PDR=87.25
episode=27, mum of sent packets=4541, num of lost packets=powerloss:274+collided:279=553, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=28.47, Jain's Fairness Index=0.50, PDR=87.69
episode=28, mum of sent packets=4550, num of lost packets=powerloss:329+collided:258=587, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=27.76, Jain's Fairness Index=0.49, PDR=86.92
episode=29, mum of sent packets=4572, num of lost packets=powerloss:314+collided:248=562, MinEnergyEfficiency=0.61, MaxEnergyEfficiency=30.69, Jain's Fairness Index=0.47, PDR=87.55
episode=30, mum of sent packets=4572, num of lost packets=powerloss:291+collided:239=530, MinEnergyEfficiency=0.51, MaxEnergyEfficiency=23.47, Jain's Fairness Index=0.54, PDR=88.21
episode=31, mum of sent packets=4560, num of lost packets=powerloss:320+collided:248=568, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=28.27, Jain's Fairness Index=0.49, PDR=87.41
episode=32, mum of sent packets=4603, num of lost packets=powerloss:306+collided:231=537, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=27.03, Jain's Fairness Index=0.50, PDR=88.18
episode=33, mum of sent packets=4666, num of lost packets=powerloss:319+collided:301=620, MinEnergyEfficiency=0.61, MaxEnergyEfficiency=22.41, Jain's Fairness Index=0.53, PDR=86.65
episode=34, mum of sent packets=4513, num of lost packets=powerloss:278+collided:239=517, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=19.77, Jain's Fairness Index=0.53, PDR=88.39
episode=35, mum of sent packets=4543, num of lost packets=powerloss:278+collided:263=541, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=20.24, Jain's Fairness Index=0.53, PDR=88.07
episode=36, mum of sent packets=4455, num of lost packets=powerloss:288+collided:243=531, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=22.43, Jain's Fairness Index=0.55, PDR=87.99
episode=37, mum of sent packets=4450, num of lost packets=powerloss:301+collided:207=508, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=24.11, Jain's Fairness Index=0.52, PDR=88.47
episode=38, mum of sent packets=4506, num of lost packets=powerloss:297+collided:214=511, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=26.33, Jain's Fairness Index=0.50, PDR=88.53
episode=39, mum of sent packets=4480, num of lost packets=powerloss:288+collided:235=523, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=27.13, Jain's Fairness Index=0.50, PDR=88.30
episode=40, mum of sent packets=4551, num of lost packets=powerloss:282+collided:212=494, MinEnergyEfficiency=0.61, MaxEnergyEfficiency=25.53, Jain's Fairness Index=0.52, PDR=89.08
episode=41, mum of sent packets=4573, num of lost packets=powerloss:338+collided:224=562, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=22.45, Jain's Fairness Index=0.55, PDR=87.64
episode=42, mum of sent packets=4508, num of lost packets=powerloss:296+collided:239=535, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=26.33, Jain's Fairness Index=0.52, PDR=88.09
episode=43, mum of sent packets=4556, num of lost packets=powerloss:291+collided:248=539, MinEnergyEfficiency=0.55, MaxEnergyEfficiency=19.21, Jain's Fairness Index=0.54, PDR=88.08
episode=44, mum of sent packets=4627, num of lost packets=powerloss:262+collided:245=507, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=24.34, Jain's Fairness Index=0.50, PDR=89.00
episode=45, mum of sent packets=4630, num of lost packets=powerloss:328+collided:223=551, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=25.94, Jain's Fairness Index=0.49, PDR=88.01
episode=46, mum of sent packets=4569, num of lost packets=powerloss:302+collided:248=550, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=28.45, Jain's Fairness Index=0.49, PDR=87.90
episode=47, mum of sent packets=4630, num of lost packets=powerloss:318+collided:179=497, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=21.99, Jain's Fairness Index=0.54, PDR=89.18
episode=48, mum of sent packets=4573, num of lost packets=powerloss:297+collided:227=524, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=26.75, Jain's Fairness Index=0.50, PDR=88.41
episode=49, mum of sent packets=4544, num of lost packets=powerloss:307+collided:259=566, MinEnergyEfficiency=0.55, MaxEnergyEfficiency=20.24, Jain's Fairness Index=0.59, PDR=87.50
episode=50, mum of sent packets=4566, num of lost packets=powerloss:286+collided:215=501, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=24.16, Jain's Fairness Index=0.55, PDR=88.98
episode=51, mum of sent packets=4562, num of lost packets=powerloss:304+collided:208=512, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=23.99, Jain's Fairness Index=0.54, PDR=88.62
episode=52, mum of sent packets=4503, num of lost packets=powerloss:306+collided:233=539, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=27.28, Jain's Fairness Index=0.49, PDR=87.94
episode=53, mum of sent packets=4496, num of lost packets=powerloss:277+collided:214=491, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=28.77, Jain's Fairness Index=0.48, PDR=88.95
episode=54, mum of sent packets=4538, num of lost packets=powerloss:279+collided:187=466, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=27.12, Jain's Fairness Index=0.50, PDR=89.64
episode=55, mum of sent packets=4487, num of lost packets=powerloss:271+collided:186=457, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=25.89, Jain's Fairness Index=0.52, PDR=89.66
episode=56, mum of sent packets=4549, num of lost packets=powerloss:295+collided:222=517, MinEnergyEfficiency=0.55, MaxEnergyEfficiency=24.29, Jain's Fairness Index=0.50, PDR=88.55
episode=57, mum of sent packets=4633, num of lost packets=powerloss:261+collided:260=521, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=26.39, Jain's Fairness Index=0.51, PDR=88.67
episode=58, mum of sent packets=4547, num of lost packets=powerloss:269+collided:235=504, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=23.41, Jain's Fairness Index=0.56, PDR=88.81
episode=59, mum of sent packets=4622, num of lost packets=powerloss:300+collided:252=552, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=22.13, Jain's Fairness Index=0.56, PDR=88.01
episode=60, mum of sent packets=4680, num of lost packets=powerloss:311+collided:199=510, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=28.26, Jain's Fairness Index=0.50, PDR=89.02
episode=61, mum of sent packets=4531, num of lost packets=powerloss:275+collided:229=504, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=21.00, Jain's Fairness Index=0.56, PDR=88.79
episode=62, mum of sent packets=4536, num of lost packets=powerloss:268+collided:205=473, MinEnergyEfficiency=0.62, MaxEnergyEfficiency=26.32, Jain's Fairness Index=0.51, PDR=89.51
episode=63, mum of sent packets=4518, num of lost packets=powerloss:304+collided:197=501, MinEnergyEfficiency=0.55, MaxEnergyEfficiency=21.92, Jain's Fairness Index=0.55, PDR=88.80
episode=64, mum of sent packets=4758, num of lost packets=powerloss:288+collided:229=517, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=27.98, Jain's Fairness Index=0.50, PDR=89.05
episode=65, mum of sent packets=4573, num of lost packets=powerloss:289+collided:177=466, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=26.44, Jain's Fairness Index=0.52, PDR=89.74
episode=66, mum of sent packets=4606, num of lost packets=powerloss:307+collided:219=526, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=21.30, Jain's Fairness Index=0.56, PDR=88.47
episode=67, mum of sent packets=4548, num of lost packets=powerloss:278+collided:208=486, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=29.01, Jain's Fairness Index=0.48, PDR=89.23
episode=68, mum of sent packets=4558, num of lost packets=powerloss:285+collided:249=534, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=19.94, Jain's Fairness Index=0.56, PDR=88.17
episode=69, mum of sent packets=4514, num of lost packets=powerloss:256+collided:184=440, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=29.84, Jain's Fairness Index=0.47, PDR=90.21
episode=70, mum of sent packets=4527, num of lost packets=powerloss:296+collided:225=521, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=20.20, Jain's Fairness Index=0.56, PDR=88.43
episode=71, mum of sent packets=4629, num of lost packets=powerloss:301+collided:230=531, MinEnergyEfficiency=0.60, MaxEnergyEfficiency=25.24, Jain's Fairness Index=0.51, PDR=88.46
episode=72, mum of sent packets=4546, num of lost packets=powerloss:266+collided:228=494, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=25.87, Jain's Fairness Index=0.51, PDR=89.07
episode=73, mum of sent packets=4578, num of lost packets=powerloss:248+collided:233=481, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=26.39, Jain's Fairness Index=0.49, PDR=89.34
episode=74, mum of sent packets=4503, num of lost packets=powerloss:264+collided:207=471, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=27.37, Jain's Fairness Index=0.47, PDR=89.47
episode=75, mum of sent packets=4506, num of lost packets=powerloss:269+collided:216=485, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=25.08, Jain's Fairness Index=0.52, PDR=89.17
episode=76, mum of sent packets=4641, num of lost packets=powerloss:288+collided:241=529, MinEnergyEfficiency=0.57, MaxEnergyEfficiency=27.53, Jain's Fairness Index=0.48, PDR=88.52
episode=77, mum of sent packets=4495, num of lost packets=powerloss:292+collided:216=508, MinEnergyEfficiency=0.56, MaxEnergyEfficiency=26.07, Jain's Fairness Index=0.50, PDR=88.59
episode=78, mum of sent packets=4578, num of lost packets=powerloss:288+collided:215=503, MinEnergyEfficiency=0.58, MaxEnergyEfficiency=24.56, Jain's Fairness Index=0.51, PDR=88.95
episode=79, mum of sent packets=4599, num of lost packets=powerloss:293+collided:250=543, MinEnergyEfficiency=0.59, MaxEnergyEfficiency=24.72, Jain's Fairness Index=0.51, PDR=88.04
