episode=0, mum of sent packets=14051, num of received packets=8046, num of lost packets=6004, PDR=57.26, actual sim duration=0.98
episode=1, mum of sent packets=13988, num of received packets=8205, num of lost packets=5781, PDR=58.66, actual sim duration=0.94
episode=2, mum of sent packets=13751, num of received packets=8027, num of lost packets=5718, PDR=58.37, actual sim duration=0.92
episode=3, mum of sent packets=13922, num of received packets=8114, num of lost packets=5801, PDR=58.28, actual sim duration=1.05
episode=4, mum of sent packets=13820, num of received packets=8104, num of lost packets=5712, PDR=58.64, actual sim duration=0.93
episode=5, mum of sent packets=13898, num of received packets=8309, num of lost packets=5583, PDR=59.79, actual sim duration=0.94
episode=6, mum of sent packets=14014, num of received packets=8267, num of lost packets=5742, PDR=58.99, actual sim duration=0.95
episode=7, mum of sent packets=13987, num of received packets=8195, num of lost packets=5786, PDR=58.59, actual sim duration=1.09
episode=8, mum of sent packets=13892, num of received packets=8190, num of lost packets=5699, PDR=58.95, actual sim duration=0.94
episode=9, mum of sent packets=13909, num of received packets=8232, num of lost packets=5674, PDR=59.18, actual sim duration=0.94
episode=10, mum of sent packets=13842, num of received packets=8316, num of lost packets=5525, PDR=60.08, actual sim duration=1.12
episode=11, mum of sent packets=13934, num of received packets=8276, num of lost packets=5655, PDR=59.39, actual sim duration=0.94
episode=12, mum of sent packets=13698, num of received packets=8131, num of lost packets=5562, PDR=59.36, actual sim duration=0.92
episode=13, mum of sent packets=13845, num of received packets=8306, num of lost packets=5533, PDR=59.99, actual sim duration=0.93
episode=14, mum of sent packets=13871, num of received packets=8211, num of lost packets=5658, PDR=59.20, actual sim duration=1.08
episode=15, mum of sent packets=13885, num of received packets=8326, num of lost packets=5554, PDR=59.96, actual sim duration=0.94
episode=16, mum of sent packets=13905, num of received packets=8287, num of lost packets=5616, PDR=59.60, actual sim duration=0.94
episode=17, mum of sent packets=13959, num of received packets=8347, num of lost packets=5609, PDR=59.80, actual sim duration=0.95
episode=18, mum of sent packets=13992, num of received packets=8224, num of lost packets=5762, PDR=58.78, actual sim duration=0.95
episode=19, mum of sent packets=13771, num of received packets=8122, num of lost packets=5645, PDR=58.98, actual sim duration=1.20
episode=20, mum of sent packets=13879, num of received packets=8251, num of lost packets=5625, PDR=59.45, actual sim duration=0.94
episode=21, mum of sent packets=13810, num of received packets=8208, num of lost packets=5601, PDR=59.44, actual sim duration=0.94
episode=22, mum of sent packets=13905, num of received packets=8246, num of lost packets=5657, PDR=59.30, actual sim duration=0.95
episode=23, mum of sent packets=13892, num of received packets=8228, num of lost packets=5659, PDR=59.23, actual sim duration=0.95
episode=24, mum of sent packets=13942, num of received packets=8226, num of lost packets=5714, PDR=59.00, actual sim duration=0.95
episode=25, mum of sent packets=13847, num of received packets=8242, num of lost packets=5601, PDR=59.52, actual sim duration=1.23
episode=26, mum of sent packets=13781, num of received packets=8289, num of lost packets=5486, PDR=60.15, actual sim duration=0.93
episode=27, mum of sent packets=13684, num of received packets=8172, num of lost packets=5509, PDR=59.72, actual sim duration=0.93
episode=28, mum of sent packets=13974, num of received packets=8323, num of lost packets=5646, PDR=59.56, actual sim duration=0.95
episode=29, mum of sent packets=13988, num of received packets=8267, num of lost packets=5716, PDR=59.10, actual sim duration=0.95
episode=30, mum of sent packets=13865, num of received packets=8235, num of lost packets=5628, PDR=59.39, actual sim duration=0.95
episode=31, mum of sent packets=13768, num of received packets=8285, num of lost packets=5473, PDR=60.18, actual sim duration=0.92
episode=32, mum of sent packets=13972, num of received packets=8250, num of lost packets=5721, PDR=59.05, actual sim duration=0.95
episode=33, mum of sent packets=13946, num of received packets=8253, num of lost packets=5689, PDR=59.18, actual sim duration=1.35
episode=34, mum of sent packets=13622, num of received packets=8188, num of lost packets=5429, PDR=60.11, actual sim duration=0.91
episode=35, mum of sent packets=13656, num of received packets=8114, num of lost packets=5538, PDR=59.42, actual sim duration=0.92
episode=36, mum of sent packets=13738, num of received packets=8183, num of lost packets=5548, PDR=59.56, actual sim duration=0.93
episode=37, mum of sent packets=13746, num of received packets=8192, num of lost packets=5549, PDR=59.60, actual sim duration=0.92
episode=38, mum of sent packets=13922, num of received packets=8305, num of lost packets=5614, PDR=59.65, actual sim duration=0.95
episode=39, mum of sent packets=13973, num of received packets=8276, num of lost packets=5693, PDR=59.23, actual sim duration=0.95
episode=40, mum of sent packets=13981, num of received packets=8296, num of lost packets=5682, PDR=59.34, actual sim duration=0.94
episode=41, mum of sent packets=13991, num of received packets=8351, num of lost packets=5638, PDR=59.69, actual sim duration=0.94
episode=42, mum of sent packets=13830, num of received packets=8233, num of lost packets=5597, PDR=59.53, actual sim duration=0.93
episode=43, mum of sent packets=13915, num of received packets=8273, num of lost packets=5637, PDR=59.45, actual sim duration=1.39
episode=44, mum of sent packets=13841, num of received packets=8250, num of lost packets=5588, PDR=59.61, actual sim duration=0.93
episode=45, mum of sent packets=13883, num of received packets=8266, num of lost packets=5615, PDR=59.54, actual sim duration=0.94
episode=46, mum of sent packets=13550, num of received packets=8159, num of lost packets=5388, PDR=60.21, actual sim duration=0.90
episode=47, mum of sent packets=13910, num of received packets=8351, num of lost packets=5557, PDR=60.04, actual sim duration=0.93
episode=48, mum of sent packets=13740, num of received packets=8150, num of lost packets=5584, PDR=59.32, actual sim duration=0.92
episode=49, mum of sent packets=13857, num of received packets=8276, num of lost packets=5578, PDR=59.72, actual sim duration=0.93
episode=50, mum of sent packets=14125, num of received packets=8304, num of lost packets=5819, PDR=58.79, actual sim duration=0.95
episode=51, mum of sent packets=13827, num of received packets=8205, num of lost packets=5617, PDR=59.34, actual sim duration=0.93
episode=52, mum of sent packets=14048, num of received packets=8319, num of lost packets=5725, PDR=59.22, actual sim duration=0.94
episode=53, mum of sent packets=14016, num of received packets=8402, num of lost packets=5608, PDR=59.95, actual sim duration=0.94
episode=54, mum of sent packets=13672, num of received packets=8241, num of lost packets=5429, PDR=60.28, actual sim duration=0.91
episode=55, mum of sent packets=13817, num of received packets=8243, num of lost packets=5569, PDR=59.66, actual sim duration=1.45
episode=56, mum of sent packets=13907, num of received packets=8240, num of lost packets=5665, PDR=59.25, actual sim duration=0.93
episode=57, mum of sent packets=14052, num of received packets=8355, num of lost packets=5695, PDR=59.46, actual sim duration=0.95
episode=58, mum of sent packets=13965, num of received packets=8280, num of lost packets=5683, PDR=59.29, actual sim duration=0.94
episode=59, mum of sent packets=14010, num of received packets=8259, num of lost packets=5750, PDR=58.95, actual sim duration=0.95
episode=60, mum of sent packets=13777, num of received packets=8157, num of lost packets=5618, PDR=59.21, actual sim duration=0.93
episode=61, mum of sent packets=13779, num of received packets=8160, num of lost packets=5617, PDR=59.22, actual sim duration=0.93
episode=62, mum of sent packets=13880, num of received packets=8331, num of lost packets=5543, PDR=60.02, actual sim duration=0.94
episode=63, mum of sent packets=13991, num of received packets=8321, num of lost packets=5668, PDR=59.47, actual sim duration=0.94
episode=64, mum of sent packets=13552, num of received packets=8056, num of lost packets=5494, PDR=59.45, actual sim duration=0.90
episode=65, mum of sent packets=13777, num of received packets=8157, num of lost packets=5614, PDR=59.21, actual sim duration=0.92
episode=66, mum of sent packets=14007, num of received packets=8320, num of lost packets=5682, PDR=59.40, actual sim duration=0.94
episode=67, mum of sent packets=14005, num of received packets=8267, num of lost packets=5730, PDR=59.03, actual sim duration=0.94
episode=68, mum of sent packets=13897, num of received packets=8158, num of lost packets=5738, PDR=58.70, actual sim duration=0.93
episode=69, mum of sent packets=13870, num of received packets=8259, num of lost packets=5609, PDR=59.55, actual sim duration=0.93
episode=70, mum of sent packets=13814, num of received packets=8104, num of lost packets=5709, PDR=58.67, actual sim duration=1.67
episode=71, mum of sent packets=13940, num of received packets=8248, num of lost packets=5689, PDR=59.17, actual sim duration=0.94
episode=72, mum of sent packets=13777, num of received packets=8262, num of lost packets=5511, PDR=59.97, actual sim duration=0.92
episode=73, mum of sent packets=13835, num of received packets=8246, num of lost packets=5585, PDR=59.60, actual sim duration=0.92
episode=74, mum of sent packets=13839, num of received packets=8333, num of lost packets=5502, PDR=60.21, actual sim duration=0.92
episode=75, mum of sent packets=13972, num of received packets=8383, num of lost packets=5585, PDR=60.00, actual sim duration=0.94
episode=76, mum of sent packets=13820, num of received packets=8337, num of lost packets=5480, PDR=60.33, actual sim duration=0.93
episode=77, mum of sent packets=13586, num of received packets=8186, num of lost packets=5398, PDR=60.25, actual sim duration=0.92
episode=78, mum of sent packets=13719, num of received packets=8227, num of lost packets=5487, PDR=59.97, actual sim duration=0.92
episode=79, mum of sent packets=13785, num of received packets=8212, num of lost packets=5568, PDR=59.57, actual sim duration=0.92
episode=80, mum of sent packets=13822, num of received packets=8197, num of lost packets=5619, PDR=59.30, actual sim duration=0.93
episode=81, mum of sent packets=13675, num of received packets=8266, num of lost packets=5404, PDR=60.45, actual sim duration=0.92
episode=82, mum of sent packets=13786, num of received packets=8231, num of lost packets=5549, PDR=59.71, actual sim duration=0.92
episode=83, mum of sent packets=13799, num of received packets=8223, num of lost packets=5573, PDR=59.59, actual sim duration=0.92
episode=84, mum of sent packets=14127, num of received packets=8261, num of lost packets=5859, PDR=58.48, actual sim duration=0.95
