episode=0, mum of sent packets=4679, num of received packets=2845, num of lost packets=1829, PDR=60.80, actual sim duration=0.28
episode=1, mum of sent packets=4688, num of received packets=3209, num of lost packets=1474, PDR=68.45, actual sim duration=0.34
episode=2, mum of sent packets=4751, num of received packets=3382, num of lost packets=1366, PDR=71.19, actual sim duration=0.29
episode=3, mum of sent packets=4669, num of received packets=3461, num of lost packets=1208, PDR=74.13, actual sim duration=0.30
episode=4, mum of sent packets=4737, num of received packets=3526, num of lost packets=1204, PDR=74.44, actual sim duration=0.30
episode=5, mum of sent packets=4728, num of received packets=3543, num of lost packets=1184, PDR=74.94, actual sim duration=0.28
episode=6, mum of sent packets=4609, num of received packets=3540, num of lost packets=1065, PDR=76.81, actual sim duration=0.29
episode=7, mum of sent packets=4702, num of received packets=3570, num of lost packets=1128, PDR=75.93, actual sim duration=0.28
episode=8, mum of sent packets=4676, num of received packets=3598, num of lost packets=1074, PDR=76.95, actual sim duration=0.28
episode=9, mum of sent packets=4705, num of received packets=3614, num of lost packets=1087, PDR=76.81, actual sim duration=0.28
episode=10, mum of sent packets=4642, num of received packets=3616, num of lost packets=1023, PDR=77.90, actual sim duration=0.40
episode=11, mum of sent packets=4811, num of received packets=3717, num of lost packets=1092, PDR=77.26, actual sim duration=0.29
episode=12, mum of sent packets=4574, num of received packets=3648, num of lost packets=923, PDR=79.76, actual sim duration=0.27
episode=13, mum of sent packets=4695, num of received packets=3649, num of lost packets=1044, PDR=77.72, actual sim duration=0.28
episode=14, mum of sent packets=4847, num of received packets=3723, num of lost packets=1119, PDR=76.81, actual sim duration=0.29
episode=15, mum of sent packets=4778, num of received packets=3717, num of lost packets=1056, PDR=77.79, actual sim duration=0.29
episode=16, mum of sent packets=4584, num of received packets=3618, num of lost packets=965, PDR=78.93, actual sim duration=0.27
episode=17, mum of sent packets=4696, num of received packets=3658, num of lost packets=1035, PDR=77.90, actual sim duration=0.31
episode=18, mum of sent packets=4766, num of received packets=3749, num of lost packets=1015, PDR=78.66, actual sim duration=0.28
episode=19, mum of sent packets=4759, num of received packets=3663, num of lost packets=1092, PDR=76.97, actual sim duration=0.32
episode=20, mum of sent packets=4700, num of received packets=3723, num of lost packets=974, PDR=79.21, actual sim duration=0.44
episode=21, mum of sent packets=4767, num of received packets=3741, num of lost packets=1023, PDR=78.48, actual sim duration=0.28
episode=22, mum of sent packets=4726, num of received packets=3672, num of lost packets=1049, PDR=77.70, actual sim duration=0.29
