episode=0, mum of sent packets=13974, num of received packets=9297, num of lost packets=4674, PDR=66.53, actual sim duration=0.90
episode=1, mum of sent packets=13995, num of received packets=10000, num of lost packets=3987, PDR=71.45, actual sim duration=0.86
episode=2, mum of sent packets=13691, num of received packets=9973, num of lost packets=3713, PDR=72.84, actual sim duration=0.83
episode=3, mum of sent packets=13840, num of received packets=10114, num of lost packets=3721, PDR=73.08, actual sim duration=0.97
episode=4, mum of sent packets=13679, num of received packets=10152, num of lost packets=3524, PDR=74.22, actual sim duration=0.85
episode=5, mum of sent packets=13800, num of received packets=10209, num of lost packets=3588, PDR=73.98, actual sim duration=0.86
episode=6, mum of sent packets=13882, num of received packets=10325, num of lost packets=3551, PDR=74.38, actual sim duration=0.86
episode=7, mum of sent packets=13811, num of received packets=10250, num of lost packets=3556, PDR=74.22, actual sim duration=1.00
episode=8, mum of sent packets=13853, num of received packets=10329, num of lost packets=3518, PDR=74.56, actual sim duration=0.85
episode=9, mum of sent packets=13698, num of received packets=10140, num of lost packets=3556, PDR=74.03, actual sim duration=0.85
episode=10, mum of sent packets=13745, num of received packets=10212, num of lost packets=3527, PDR=74.30, actual sim duration=1.03
episode=11, mum of sent packets=13783, num of received packets=10358, num of lost packets=3419, PDR=75.15, actual sim duration=0.85
episode=12, mum of sent packets=13622, num of received packets=10201, num of lost packets=3416, PDR=74.89, actual sim duration=0.84
episode=13, mum of sent packets=13717, num of received packets=10331, num of lost packets=3383, PDR=75.32, actual sim duration=0.84
episode=14, mum of sent packets=13752, num of received packets=10318, num of lost packets=3433, PDR=75.03, actual sim duration=1.05
episode=15, mum of sent packets=13760, num of received packets=10434, num of lost packets=3321, PDR=75.83, actual sim duration=0.86
episode=16, mum of sent packets=13749, num of received packets=10423, num of lost packets=3320, PDR=75.81, actual sim duration=0.86
episode=17, mum of sent packets=13852, num of received packets=10386, num of lost packets=3460, PDR=74.98, actual sim duration=0.87
episode=18, mum of sent packets=13785, num of received packets=10437, num of lost packets=3342, PDR=75.71, actual sim duration=0.85
episode=19, mum of sent packets=13675, num of received packets=10333, num of lost packets=3338, PDR=75.56, actual sim duration=1.10
episode=20, mum of sent packets=13751, num of received packets=10465, num of lost packets=3281, PDR=76.10, actual sim duration=0.87
episode=21, mum of sent packets=13561, num of received packets=10301, num of lost packets=3255, PDR=75.96, actual sim duration=0.85
episode=22, mum of sent packets=13776, num of received packets=10464, num of lost packets=3304, PDR=75.96, actual sim duration=0.85
episode=23, mum of sent packets=13657, num of received packets=10246, num of lost packets=3406, PDR=75.02, actual sim duration=0.85
episode=24, mum of sent packets=13882, num of received packets=10463, num of lost packets=3415, PDR=75.37, actual sim duration=0.85
episode=25, mum of sent packets=13739, num of received packets=10394, num of lost packets=3343, PDR=75.65, actual sim duration=0.85
episode=26, mum of sent packets=13640, num of received packets=10303, num of lost packets=3331, PDR=75.54, actual sim duration=1.12
episode=27, mum of sent packets=13555, num of received packets=10238, num of lost packets=3313, PDR=75.53, actual sim duration=0.85
episode=28, mum of sent packets=13689, num of received packets=10366, num of lost packets=3317, PDR=75.73, actual sim duration=0.85
episode=29, mum of sent packets=13854, num of received packets=10472, num of lost packets=3379, PDR=75.59, actual sim duration=0.85
episode=30, mum of sent packets=13748, num of received packets=10420, num of lost packets=3324, PDR=75.79, actual sim duration=0.85
episode=31, mum of sent packets=13589, num of received packets=10252, num of lost packets=3331, PDR=75.44, actual sim duration=0.84
