episode=0, mum of sent packets=14796, num of received packets=8912, num of lost packets=5882, PDR=60.23, actual sim duration=0.98
episode=1, mum of sent packets=14576, num of received packets=8864, num of lost packets=5712, PDR=60.81, actual sim duration=0.92
episode=2, mum of sent packets=14487, num of received packets=8972, num of lost packets=5513, PDR=61.93, actual sim duration=0.91
episode=3, mum of sent packets=14570, num of received packets=9036, num of lost packets=5531, PDR=62.02, actual sim duration=1.02
episode=4, mum of sent packets=14555, num of received packets=8880, num of lost packets=5674, PDR=61.01, actual sim duration=0.93
episode=5, mum of sent packets=14518, num of received packets=9098, num of lost packets=5419, PDR=62.67, actual sim duration=0.93
episode=6, mum of sent packets=14664, num of received packets=8945, num of lost packets=5715, PDR=61.00, actual sim duration=1.06
episode=7, mum of sent packets=14581, num of received packets=9191, num of lost packets=5385, PDR=63.03, actual sim duration=0.92
episode=8, mum of sent packets=14467, num of received packets=9227, num of lost packets=5238, PDR=63.78, actual sim duration=0.91
episode=9, mum of sent packets=14557, num of received packets=9121, num of lost packets=5434, PDR=62.66, actual sim duration=1.08
episode=10, mum of sent packets=14499, num of received packets=9204, num of lost packets=5295, PDR=63.48, actual sim duration=0.93
episode=11, mum of sent packets=14513, num of received packets=9088, num of lost packets=5423, PDR=62.62, actual sim duration=0.92
episode=12, mum of sent packets=14321, num of received packets=9247, num of lost packets=5072, PDR=64.57, actual sim duration=0.90
episode=13, mum of sent packets=14633, num of received packets=9405, num of lost packets=5225, PDR=64.27, actual sim duration=1.12
episode=14, mum of sent packets=14552, num of received packets=9370, num of lost packets=5182, PDR=64.39, actual sim duration=0.91
episode=15, mum of sent packets=14547, num of received packets=9347, num of lost packets=5200, PDR=64.25, actual sim duration=0.93
episode=16, mum of sent packets=14623, num of received packets=9410, num of lost packets=5213, PDR=64.35, actual sim duration=0.93
episode=17, mum of sent packets=14604, num of received packets=9432, num of lost packets=5170, PDR=64.59, actual sim duration=0.91
episode=18, mum of sent packets=14466, num of received packets=9425, num of lost packets=5039, PDR=65.15, actual sim duration=1.13
episode=19, mum of sent packets=14506, num of received packets=9356, num of lost packets=5147, PDR=64.50, actual sim duration=0.90
episode=20, mum of sent packets=14448, num of received packets=9207, num of lost packets=5237, PDR=63.73, actual sim duration=0.91
episode=21, mum of sent packets=14553, num of received packets=9366, num of lost packets=5186, PDR=64.36, actual sim duration=0.92
episode=22, mum of sent packets=14563, num of received packets=9405, num of lost packets=5155, PDR=64.58, actual sim duration=0.91
episode=23, mum of sent packets=14589, num of received packets=9381, num of lost packets=5206, PDR=64.30, actual sim duration=0.92
episode=24, mum of sent packets=14521, num of received packets=9392, num of lost packets=5127, PDR=64.68, actual sim duration=1.21
episode=25, mum of sent packets=14373, num of received packets=9407, num of lost packets=4965, PDR=65.45, actual sim duration=0.91
episode=26, mum of sent packets=14392, num of received packets=9442, num of lost packets=4949, PDR=65.61, actual sim duration=0.92
episode=27, mum of sent packets=14767, num of received packets=9513, num of lost packets=5253, PDR=64.42, actual sim duration=0.92
episode=28, mum of sent packets=14528, num of received packets=9547, num of lost packets=4981, PDR=65.71, actual sim duration=0.91
episode=29, mum of sent packets=14480, num of received packets=9475, num of lost packets=5004, PDR=65.44, actual sim duration=0.90
episode=30, mum of sent packets=14445, num of received packets=9495, num of lost packets=4946, PDR=65.73, actual sim duration=0.91
episode=31, mum of sent packets=14673, num of received packets=9538, num of lost packets=5131, PDR=65.00, actual sim duration=0.92
episode=32, mum of sent packets=14368, num of received packets=9640, num of lost packets=4727, PDR=67.09, actual sim duration=1.24
episode=33, mum of sent packets=14308, num of received packets=9417, num of lost packets=4890, PDR=65.82, actual sim duration=0.90
episode=34, mum of sent packets=14412, num of received packets=9482, num of lost packets=4928, PDR=65.79, actual sim duration=0.90
episode=35, mum of sent packets=14402, num of received packets=9484, num of lost packets=4917, PDR=65.85, actual sim duration=0.90
episode=36, mum of sent packets=14585, num of received packets=9554, num of lost packets=5028, PDR=65.51, actual sim duration=0.92
episode=37, mum of sent packets=14629, num of received packets=9693, num of lost packets=4935, PDR=66.26, actual sim duration=0.93
episode=38, mum of sent packets=14681, num of received packets=9699, num of lost packets=4980, PDR=66.06, actual sim duration=0.92
episode=39, mum of sent packets=14626, num of received packets=9686, num of lost packets=4940, PDR=66.22, actual sim duration=0.92
episode=40, mum of sent packets=14510, num of received packets=9636, num of lost packets=4872, PDR=66.41, actual sim duration=0.90
episode=41, mum of sent packets=14561, num of received packets=9638, num of lost packets=4921, PDR=66.19, actual sim duration=1.41
episode=42, mum of sent packets=14483, num of received packets=9589, num of lost packets=4893, PDR=66.21, actual sim duration=0.91
episode=43, mum of sent packets=14589, num of received packets=9612, num of lost packets=4977, PDR=65.89, actual sim duration=0.90
episode=44, mum of sent packets=14295, num of received packets=9436, num of lost packets=4857, PDR=66.01, actual sim duration=0.89
episode=45, mum of sent packets=14457, num of received packets=9597, num of lost packets=4860, PDR=66.38, actual sim duration=0.90
episode=46, mum of sent packets=14346, num of received packets=9415, num of lost packets=4929, PDR=65.63, actual sim duration=0.90
episode=47, mum of sent packets=14576, num of received packets=9537, num of lost packets=5038, PDR=65.43, actual sim duration=0.92
episode=48, mum of sent packets=14789, num of received packets=9805, num of lost packets=4983, PDR=66.30, actual sim duration=0.93
episode=49, mum of sent packets=14489, num of received packets=9523, num of lost packets=4966, PDR=65.73, actual sim duration=0.90
episode=50, mum of sent packets=14742, num of received packets=9724, num of lost packets=5014, PDR=65.96, actual sim duration=0.91
