episode=0, mum of sent packets=14756, num of received packets=9058, num of lost packets=5696, PDR=61.39, actual sim duration=1.05
episode=1, mum of sent packets=14573, num of received packets=9043, num of lost packets=5528, PDR=62.05, actual sim duration=0.99
episode=2, mum of sent packets=14497, num of received packets=8944, num of lost packets=5549, PDR=61.70, actual sim duration=0.99
episode=3, mum of sent packets=14567, num of received packets=9118, num of lost packets=5447, PDR=62.59, actual sim duration=1.10
episode=4, mum of sent packets=14518, num of received packets=8998, num of lost packets=5518, PDR=61.98, actual sim duration=1.01
episode=5, mum of sent packets=14506, num of received packets=9052, num of lost packets=5454, PDR=62.40, actual sim duration=1.01
episode=6, mum of sent packets=14630, num of received packets=9130, num of lost packets=5498, PDR=62.41, actual sim duration=1.15
episode=7, mum of sent packets=14594, num of received packets=9014, num of lost packets=5579, PDR=61.77, actual sim duration=1.01
episode=8, mum of sent packets=14433, num of received packets=9003, num of lost packets=5428, PDR=62.38, actual sim duration=0.99
episode=9, mum of sent packets=14517, num of received packets=9004, num of lost packets=5512, PDR=62.02, actual sim duration=1.19
episode=10, mum of sent packets=14450, num of received packets=9034, num of lost packets=5416, PDR=62.52, actual sim duration=1.00
episode=11, mum of sent packets=14488, num of received packets=8995, num of lost packets=5491, PDR=62.09, actual sim duration=0.99
episode=12, mum of sent packets=14264, num of received packets=9000, num of lost packets=5263, PDR=63.10, actual sim duration=0.97
episode=13, mum of sent packets=14569, num of received packets=9273, num of lost packets=5295, PDR=63.65, actual sim duration=1.14
episode=14, mum of sent packets=14509, num of received packets=9355, num of lost packets=5152, PDR=64.48, actual sim duration=1.02
episode=15, mum of sent packets=14488, num of received packets=9335, num of lost packets=5152, PDR=64.43, actual sim duration=1.00
episode=16, mum of sent packets=14546, num of received packets=9342, num of lost packets=5204, PDR=64.22, actual sim duration=1.00
episode=17, mum of sent packets=14586, num of received packets=9490, num of lost packets=5096, PDR=65.06, actual sim duration=1.01
episode=18, mum of sent packets=14412, num of received packets=9341, num of lost packets=5070, PDR=64.81, actual sim duration=1.27
episode=19, mum of sent packets=14465, num of received packets=9402, num of lost packets=5061, PDR=65.00, actual sim duration=1.01
episode=20, mum of sent packets=14427, num of received packets=9236, num of lost packets=5186, PDR=64.02, actual sim duration=1.00
episode=21, mum of sent packets=14467, num of received packets=9261, num of lost packets=5201, PDR=64.01, actual sim duration=1.01
episode=22, mum of sent packets=14523, num of received packets=9318, num of lost packets=5202, PDR=64.16, actual sim duration=1.01
episode=23, mum of sent packets=14554, num of received packets=9351, num of lost packets=5202, PDR=64.25, actual sim duration=1.03
episode=24, mum of sent packets=14428, num of received packets=9261, num of lost packets=5166, PDR=64.19, actual sim duration=1.28
episode=25, mum of sent packets=14363, num of received packets=9217, num of lost packets=5146, PDR=64.17, actual sim duration=0.99
episode=26, mum of sent packets=14310, num of received packets=9223, num of lost packets=5086, PDR=64.45, actual sim duration=0.99
episode=27, mum of sent packets=14696, num of received packets=9589, num of lost packets=5104, PDR=65.25, actual sim duration=1.02
episode=28, mum of sent packets=14471, num of received packets=9685, num of lost packets=4784, PDR=66.93, actual sim duration=1.02
episode=29, mum of sent packets=14467, num of received packets=9678, num of lost packets=4787, PDR=66.90, actual sim duration=1.00
episode=30, mum of sent packets=14383, num of received packets=9659, num of lost packets=4721, PDR=67.16, actual sim duration=0.99
episode=31, mum of sent packets=14619, num of received packets=9758, num of lost packets=4856, PDR=66.75, actual sim duration=1.01
episode=32, mum of sent packets=14352, num of received packets=9480, num of lost packets=4869, PDR=66.05, actual sim duration=1.36
episode=33, mum of sent packets=14279, num of received packets=9549, num of lost packets=4729, PDR=66.87, actual sim duration=1.00
episode=34, mum of sent packets=14279, num of received packets=9668, num of lost packets=4608, PDR=67.71, actual sim duration=0.99
episode=35, mum of sent packets=14279, num of received packets=9623, num of lost packets=4654, PDR=67.39, actual sim duration=0.99
episode=36, mum of sent packets=14612, num of received packets=9754, num of lost packets=4857, PDR=66.75, actual sim duration=1.01
episode=37, mum of sent packets=14567, num of received packets=9838, num of lost packets=4727, PDR=67.54, actual sim duration=1.01
episode=38, mum of sent packets=14572, num of received packets=9862, num of lost packets=4707, PDR=67.68, actual sim duration=1.02
episode=39, mum of sent packets=14657, num of received packets=9894, num of lost packets=4759, PDR=67.50, actual sim duration=1.01
episode=40, mum of sent packets=14395, num of received packets=9799, num of lost packets=4594, PDR=68.07, actual sim duration=0.99
episode=41, mum of sent packets=14548, num of received packets=9785, num of lost packets=4761, PDR=67.26, actual sim duration=1.41
episode=42, mum of sent packets=14477, num of received packets=9727, num of lost packets=4748, PDR=67.19, actual sim duration=1.00
episode=43, mum of sent packets=14386, num of received packets=9749, num of lost packets=4636, PDR=67.77, actual sim duration=1.02
episode=44, mum of sent packets=14218, num of received packets=9707, num of lost packets=4510, PDR=68.27, actual sim duration=0.98
episode=45, mum of sent packets=14514, num of received packets=9808, num of lost packets=4704, PDR=67.58, actual sim duration=1.00
episode=46, mum of sent packets=14324, num of received packets=9697, num of lost packets=4626, PDR=67.70, actual sim duration=0.99
episode=47, mum of sent packets=14518, num of received packets=9854, num of lost packets=4663, PDR=67.87, actual sim duration=1.02
episode=48, mum of sent packets=14685, num of received packets=9847, num of lost packets=4836, PDR=67.05, actual sim duration=1.02
episode=49, mum of sent packets=14437, num of received packets=9756, num of lost packets=4679, PDR=67.58, actual sim duration=0.99
episode=50, mum of sent packets=14639, num of received packets=9842, num of lost packets=4796, PDR=67.23, actual sim duration=1.00
episode=51, mum of sent packets=14492, num of received packets=9672, num of lost packets=4817, PDR=66.74, actual sim duration=1.00
episode=52, mum of sent packets=14372, num of received packets=9730, num of lost packets=4640, PDR=67.70, actual sim duration=1.46
episode=53, mum of sent packets=14368, num of received packets=9722, num of lost packets=4644, PDR=67.66, actual sim duration=1.00
episode=54, mum of sent packets=14571, num of received packets=9777, num of lost packets=4793, PDR=67.10, actual sim duration=1.00
episode=55, mum of sent packets=14567, num of received packets=9838, num of lost packets=4725, PDR=67.54, actual sim duration=1.00
episode=56, mum of sent packets=14618, num of received packets=9835, num of lost packets=4778, PDR=67.28, actual sim duration=1.01
episode=57, mum of sent packets=14591, num of received packets=9756, num of lost packets=4834, PDR=66.86, actual sim duration=1.02
episode=58, mum of sent packets=14284, num of received packets=9583, num of lost packets=4699, PDR=67.09, actual sim duration=1.00
episode=59, mum of sent packets=14506, num of received packets=9693, num of lost packets=4811, PDR=66.82, actual sim duration=0.99
episode=60, mum of sent packets=14472, num of received packets=9682, num of lost packets=4790, PDR=66.90, actual sim duration=0.99
episode=61, mum of sent packets=14373, num of received packets=9702, num of lost packets=4669, PDR=67.50, actual sim duration=0.99
episode=62, mum of sent packets=14292, num of received packets=9669, num of lost packets=4622, PDR=67.65, actual sim duration=0.99
episode=63, mum of sent packets=14542, num of received packets=9805, num of lost packets=4736, PDR=67.43, actual sim duration=1.01
episode=64, mum of sent packets=14527, num of received packets=9743, num of lost packets=4781, PDR=67.07, actual sim duration=1.00
episode=65, mum of sent packets=14541, num of received packets=9993, num of lost packets=4544, PDR=68.72, actual sim duration=1.00
