episode=0, mum of sent packets=4644, num of lost packets=powerloss:848+collided:654=1502, MinEnergyEfficiency=1.08, MaxEnergyEfficiency=23.50, Jain's Fairness Index=0.64, PDR=67.61
episode=1, mum of sent packets=4618, num of lost packets=powerloss:642+collided:571=1213, MinEnergyEfficiency=0.98, MaxEnergyEfficiency=31.03, Jain's Fairness Index=0.52, PDR=73.73
episode=2, mum of sent packets=4636, num of lost packets=powerloss:619+collided:581=1200, MinEnergyEfficiency=0.80, MaxEnergyEfficiency=23.09, Jain's Fairness Index=0.67, PDR=74.07
episode=3, mum of sent packets=4692, num of lost packets=powerloss:513+collided:502=1015, MinEnergyEfficiency=0.91, MaxEnergyEfficiency=25.69, Jain's Fairness Index=0.66, PDR=78.26
episode=4, mum of sent packets=4750, num of lost packets=powerloss:505+collided:420=925, MinEnergyEfficiency=0.87, MaxEnergyEfficiency=27.79, Jain's Fairness Index=0.64, PDR=80.46
episode=5, mum of sent packets=4707, num of lost packets=powerloss:503+collided:431=934, MinEnergyEfficiency=0.90, MaxEnergyEfficiency=40.66, Jain's Fairness Index=0.51, PDR=80.16
episode=6, mum of sent packets=4663, num of lost packets=powerloss:507+collided:450=957, MinEnergyEfficiency=0.89, MaxEnergyEfficiency=40.82, Jain's Fairness Index=0.52, PDR=79.46
episode=7, mum of sent packets=4756, num of lost packets=powerloss:425+collided:347=772, MinEnergyEfficiency=0.91, MaxEnergyEfficiency=49.43, Jain's Fairness Index=0.42, PDR=83.70
episode=8, mum of sent packets=4576, num of lost packets=powerloss:396+collided:407=803, MinEnergyEfficiency=0.92, MaxEnergyEfficiency=62.37, Jain's Fairness Index=0.33, PDR=82.43
episode=9, mum of sent packets=4719, num of lost packets=powerloss:408+collided:355=763, MinEnergyEfficiency=0.89, MaxEnergyEfficiency=48.83, Jain's Fairness Index=0.39, PDR=83.77
episode=10, mum of sent packets=4693, num of lost packets=powerloss:398+collided:393=791, MinEnergyEfficiency=0.89, MaxEnergyEfficiency=80.62, Jain's Fairness Index=0.29, PDR=83.15
episode=11, mum of sent packets=4620, num of lost packets=powerloss:404+collided:381=785, MinEnergyEfficiency=0.89, MaxEnergyEfficiency=43.22, Jain's Fairness Index=0.42, PDR=82.97
