episode=0, mum of sent packets=73845, num of received packets=48219, num of lost packets=25626, PDR=65.30
episode=1, mum of sent packets=73934, num of received packets=48347, num of lost packets=25587, PDR=65.39
episode=2, mum of sent packets=74701, num of received packets=49364, num of lost packets=25337, PDR=66.08
episode=3, mum of sent packets=73951, num of received packets=48977, num of lost packets=24974, PDR=66.23
episode=4, mum of sent packets=73735, num of received packets=47944, num of lost packets=25791, PDR=65.02
episode=5, mum of sent packets=73318, num of received packets=47767, num of lost packets=25551, PDR=65.15
episode=6, mum of sent packets=73660, num of received packets=46952, num of lost packets=26708, PDR=63.74
episode=7, mum of sent packets=73421, num of received packets=47653, num of lost packets=25768, PDR=64.90
episode=8, mum of sent packets=74199, num of received packets=48362, num of lost packets=25837, PDR=65.18
episode=9, mum of sent packets=73585, num of received packets=48005, num of lost packets=25580, PDR=65.24
episode=10, mum of sent packets=73592, num of received packets=47540, num of lost packets=26052, PDR=64.60
episode=11, mum of sent packets=74700, num of received packets=49627, num of lost packets=25073, PDR=66.44
episode=12, mum of sent packets=74046, num of received packets=47850, num of lost packets=26196, PDR=64.62
episode=13, mum of sent packets=73977, num of received packets=48362, num of lost packets=25615, PDR=65.37
episode=14, mum of sent packets=74162, num of received packets=48019, num of lost packets=26143, PDR=64.75
episode=15, mum of sent packets=75095, num of received packets=48465, num of lost packets=26630, PDR=64.54
episode=16, mum of sent packets=74043, num of received packets=47995, num of lost packets=26048, PDR=64.82
episode=17, mum of sent packets=73718, num of received packets=47502, num of lost packets=26216, PDR=64.44
episode=18, mum of sent packets=74192, num of received packets=48091, num of lost packets=26101, PDR=64.82
episode=19, mum of sent packets=73848, num of received packets=48076, num of lost packets=25772, PDR=65.10
episode=20, mum of sent packets=73955, num of received packets=48705, num of lost packets=25250, PDR=65.86
episode=21, mum of sent packets=74757, num of received packets=49740, num of lost packets=25017, PDR=66.54
episode=22, mum of sent packets=74469, num of received packets=48106, num of lost packets=26363, PDR=64.60
episode=23, mum of sent packets=74147, num of received packets=48745, num of lost packets=25402, PDR=65.74
episode=24, mum of sent packets=74025, num of received packets=48302, num of lost packets=25723, PDR=65.25
episode=25, mum of sent packets=74220, num of received packets=48321, num of lost packets=25899, PDR=65.11
episode=26, mum of sent packets=73411, num of received packets=47074, num of lost packets=26337, PDR=64.12
episode=27, mum of sent packets=73813, num of received packets=47452, num of lost packets=26361, PDR=64.29
episode=28, mum of sent packets=73889, num of received packets=48000, num of lost packets=25889, PDR=64.96
episode=29, mum of sent packets=74390, num of received packets=48935, num of lost packets=25455, PDR=65.78
episode=30, mum of sent packets=73916, num of received packets=47762, num of lost packets=26154, PDR=64.62
episode=31, mum of sent packets=74357, num of received packets=48858, num of lost packets=25499, PDR=65.71
episode=32, mum of sent packets=74132, num of received packets=48573, num of lost packets=25559, PDR=65.52
episode=33, mum of sent packets=74005, num of received packets=47739, num of lost packets=26266, PDR=64.51
episode=34, mum of sent packets=74316, num of received packets=48535, num of lost packets=25781, PDR=65.31
episode=35, mum of sent packets=73446, num of received packets=47414, num of lost packets=26032, PDR=64.56
episode=36, mum of sent packets=73553, num of received packets=48313, num of lost packets=25240, PDR=65.68
episode=37, mum of sent packets=73707, num of received packets=48562, num of lost packets=25145, PDR=65.89
episode=38, mum of sent packets=73897, num of received packets=48527, num of lost packets=25370, PDR=65.67
episode=39, mum of sent packets=73982, num of received packets=47866, num of lost packets=26116, PDR=64.70
episode=40, mum of sent packets=74540, num of received packets=48649, num of lost packets=25891, PDR=65.27
episode=41, mum of sent packets=74160, num of received packets=49005, num of lost packets=25155, PDR=66.08
episode=42, mum of sent packets=73874, num of received packets=48683, num of lost packets=25191, PDR=65.90
episode=43, mum of sent packets=74217, num of received packets=48484, num of lost packets=25733, PDR=65.33
episode=44, mum of sent packets=74218, num of received packets=48355, num of lost packets=25863, PDR=65.15
episode=45, mum of sent packets=73912, num of received packets=48071, num of lost packets=25841, PDR=65.04
episode=46, mum of sent packets=73968, num of received packets=47733, num of lost packets=26235, PDR=64.53
episode=47, mum of sent packets=73931, num of received packets=47034, num of lost packets=26897, PDR=63.62
episode=48, mum of sent packets=73768, num of received packets=47447, num of lost packets=26321, PDR=64.32
episode=49, mum of sent packets=73996, num of received packets=48124, num of lost packets=25872, PDR=65.04
episode=50, mum of sent packets=73820, num of received packets=47127, num of lost packets=26693, PDR=63.84
episode=51, mum of sent packets=73148, num of received packets=47327, num of lost packets=25821, PDR=64.70
episode=52, mum of sent packets=73145, num of received packets=47447, num of lost packets=25698, PDR=64.87
episode=53, mum of sent packets=73952, num of received packets=48437, num of lost packets=25515, PDR=65.50
episode=54, mum of sent packets=73899, num of received packets=47066, num of lost packets=26833, PDR=63.69
episode=55, mum of sent packets=73744, num of received packets=48281, num of lost packets=25463, PDR=65.47
episode=56, mum of sent packets=74177, num of received packets=48508, num of lost packets=25669, PDR=65.39
episode=57, mum of sent packets=73738, num of received packets=47769, num of lost packets=25969, PDR=64.78
episode=58, mum of sent packets=73722, num of received packets=47638, num of lost packets=26084, PDR=64.62
episode=59, mum of sent packets=73802, num of received packets=47730, num of lost packets=26072, PDR=64.67
episode=60, mum of sent packets=74082, num of received packets=48058, num of lost packets=26024, PDR=64.87
episode=61, mum of sent packets=73354, num of received packets=46990, num of lost packets=26364, PDR=64.06
episode=62, mum of sent packets=74105, num of received packets=48306, num of lost packets=25799, PDR=65.19
episode=63, mum of sent packets=74182, num of received packets=48425, num of lost packets=25757, PDR=65.28
episode=64, mum of sent packets=73543, num of received packets=47436, num of lost packets=26107, PDR=64.50
episode=65, mum of sent packets=74371, num of received packets=48674, num of lost packets=25697, PDR=65.45
episode=66, mum of sent packets=74684, num of received packets=48693, num of lost packets=25991, PDR=65.20
episode=67, mum of sent packets=73771, num of received packets=47829, num of lost packets=25942, PDR=64.83
episode=68, mum of sent packets=74274, num of received packets=49100, num of lost packets=25174, PDR=66.11
episode=69, mum of sent packets=73573, num of received packets=48200, num of lost packets=25373, PDR=65.51
episode=70, mum of sent packets=74126, num of received packets=48947, num of lost packets=25179, PDR=66.03
episode=71, mum of sent packets=73792, num of received packets=46829, num of lost packets=26963, PDR=63.46
episode=72, mum of sent packets=73756, num of received packets=47537, num of lost packets=26219, PDR=64.45
episode=73, mum of sent packets=73814, num of received packets=47451, num of lost packets=26363, PDR=64.28
episode=74, mum of sent packets=74474, num of received packets=48797, num of lost packets=25677, PDR=65.52
episode=75, mum of sent packets=73813, num of received packets=48114, num of lost packets=25699, PDR=65.18
episode=76, mum of sent packets=73436, num of received packets=47365, num of lost packets=26071, PDR=64.50
episode=77, mum of sent packets=73817, num of received packets=47994, num of lost packets=25823, PDR=65.02
episode=78, mum of sent packets=73663, num of received packets=47350, num of lost packets=26313, PDR=64.28
episode=79, mum of sent packets=73928, num of received packets=48515, num of lost packets=25413, PDR=65.62
episode=80, mum of sent packets=73868, num of received packets=47225, num of lost packets=26643, PDR=63.93
episode=81, mum of sent packets=73514, num of received packets=47265, num of lost packets=26249, PDR=64.29
episode=82, mum of sent packets=74211, num of received packets=48297, num of lost packets=25914, PDR=65.08
episode=83, mum of sent packets=73548, num of received packets=47835, num of lost packets=25713, PDR=65.04
episode=84, mum of sent packets=73678, num of received packets=47922, num of lost packets=25756, PDR=65.04
episode=85, mum of sent packets=74436, num of received packets=48831, num of lost packets=25605, PDR=65.60
episode=86, mum of sent packets=73891, num of received packets=47857, num of lost packets=26034, PDR=64.77
episode=87, mum of sent packets=74080, num of received packets=47536, num of lost packets=26544, PDR=64.17
