episode=0, mum of sent packets=9923, num of received packets=5682, num of lost packets=4241, PDR=57.26, actual sim duration=2.24, parameter update time=0.42
episode=1, mum of sent packets=9982, num of received packets=5633, num of lost packets=4349, PDR=56.43, actual sim duration=1.90, parameter update time=0.21
episode=2, mum of sent packets=9982, num of received packets=5529, num of lost packets=4453, PDR=55.39, actual sim duration=1.92, parameter update time=0.21
episode=3, mum of sent packets=9925, num of received packets=5599, num of lost packets=4326, PDR=56.41, actual sim duration=1.95, parameter update time=0.21
episode=4, mum of sent packets=9901, num of received packets=5584, num of lost packets=4317, PDR=56.40, actual sim duration=2.07, parameter update time=0.21
episode=5, mum of sent packets=9882, num of received packets=5566, num of lost packets=4316, PDR=56.32, actual sim duration=1.96, parameter update time=0.21
episode=6, mum of sent packets=10054, num of received packets=5522, num of lost packets=4532, PDR=54.92, actual sim duration=1.92, parameter update time=0.21
episode=7, mum of sent packets=10209, num of received packets=5700, num of lost packets=4509, PDR=55.83, actual sim duration=1.91, parameter update time=0.21
episode=8, mum of sent packets=10291, num of received packets=5693, num of lost packets=4598, PDR=55.32, actual sim duration=2.03, parameter update time=0.21
episode=9, mum of sent packets=10133, num of received packets=5849, num of lost packets=4284, PDR=57.72, actual sim duration=1.95, parameter update time=0.21
episode=10, mum of sent packets=9780, num of received packets=5461, num of lost packets=4319, PDR=55.84, actual sim duration=1.95, parameter update time=0.21
episode=11, mum of sent packets=10009, num of received packets=5666, num of lost packets=4343, PDR=56.61, actual sim duration=1.90, parameter update time=0.21
episode=12, mum of sent packets=10023, num of received packets=5732, num of lost packets=4291, PDR=57.19, actual sim duration=1.95, parameter update time=0.21
episode=13, mum of sent packets=10086, num of received packets=5662, num of lost packets=4424, PDR=56.14, actual sim duration=2.09, parameter update time=0.21
episode=14, mum of sent packets=9913, num of received packets=5659, num of lost packets=4254, PDR=57.09, actual sim duration=1.97, parameter update time=0.21
episode=15, mum of sent packets=9763, num of received packets=5414, num of lost packets=4349, PDR=55.45, actual sim duration=1.91, parameter update time=0.21
episode=16, mum of sent packets=9785, num of received packets=5471, num of lost packets=4314, PDR=55.91, actual sim duration=1.84, parameter update time=0.21
episode=17, mum of sent packets=9951, num of received packets=5693, num of lost packets=4258, PDR=57.21, actual sim duration=1.96, parameter update time=0.20
episode=18, mum of sent packets=9857, num of received packets=5582, num of lost packets=4275, PDR=56.63, actual sim duration=2.11, parameter update time=0.21
episode=19, mum of sent packets=9951, num of received packets=5648, num of lost packets=4303, PDR=56.76, actual sim duration=1.96, parameter update time=0.21
episode=20, mum of sent packets=9907, num of received packets=5646, num of lost packets=4261, PDR=56.99, actual sim duration=1.91, parameter update time=0.20
episode=21, mum of sent packets=9876, num of received packets=5548, num of lost packets=4328, PDR=56.18, actual sim duration=1.95, parameter update time=0.21
episode=22, mum of sent packets=9894, num of received packets=5681, num of lost packets=4213, PDR=57.42, actual sim duration=1.95, parameter update time=0.21
episode=23, mum of sent packets=9962, num of received packets=5855, num of lost packets=4107, PDR=58.77, actual sim duration=2.03, parameter update time=0.21
episode=24, mum of sent packets=9821, num of received packets=5750, num of lost packets=4071, PDR=58.55, actual sim duration=1.88, parameter update time=0.20
episode=25, mum of sent packets=10059, num of received packets=5766, num of lost packets=4293, PDR=57.32, actual sim duration=1.91, parameter update time=0.21
episode=26, mum of sent packets=10082, num of received packets=5694, num of lost packets=4388, PDR=56.48, actual sim duration=1.97, parameter update time=0.21
episode=27, mum of sent packets=9838, num of received packets=5516, num of lost packets=4322, PDR=56.07, actual sim duration=1.93, parameter update time=0.20
episode=28, mum of sent packets=10038, num of received packets=5568, num of lost packets=4470, PDR=55.47, actual sim duration=1.94, parameter update time=0.21
episode=29, mum of sent packets=10185, num of received packets=5831, num of lost packets=4354, PDR=57.25, actual sim duration=1.97, parameter update time=0.20
episode=30, mum of sent packets=9994, num of received packets=5583, num of lost packets=4411, PDR=55.86, actual sim duration=2.09, parameter update time=0.21
episode=31, mum of sent packets=10024, num of received packets=5826, num of lost packets=4198, PDR=58.12, actual sim duration=1.96, parameter update time=0.21
episode=32, mum of sent packets=10136, num of received packets=5807, num of lost packets=4329, PDR=57.29, actual sim duration=1.91, parameter update time=0.20
episode=33, mum of sent packets=9936, num of received packets=5476, num of lost packets=4460, PDR=55.11, actual sim duration=1.89, parameter update time=0.21
episode=34, mum of sent packets=9980, num of received packets=5556, num of lost packets=4424, PDR=55.67, actual sim duration=1.96, parameter update time=0.20
episode=35, mum of sent packets=9931, num of received packets=5657, num of lost packets=4274, PDR=56.96, actual sim duration=1.92, parameter update time=0.21
episode=36, mum of sent packets=9982, num of received packets=5582, num of lost packets=4400, PDR=55.92, actual sim duration=1.96, parameter update time=0.21
